security_key,code,name,cornerstone_names,cornerstone_investor_count,cornerstone_amount_hkd,cornerstone_ratio,cornerstone_lockup_months,cornerstone_lockup_end_date,cornerstone_quality_tags,industry,source_files
0068.HK,0068.HK,群核科技,"泰康人寿保险有限责任公司；阳光人寿保险股份有限公司；REDWOOD ELITE LIMITED；广发基金管理有限公司及广发国际资产管理有限公司；Mirae Asset Securities Co., Ltd.；雾淞资本有限公司；Hesai Hong Kong Limited；国惠(香港)控股有限公司；华营建筑集团控股有限公司",9,454524740.0,0.3712,6.0,2026-10-17,产业方；长线基金；主权/国资；上市公司关联,应用软件,港股IPO基石投资者.csv
0100.HK,0100.HK,MINIMAX-W,"Abu Dhabi Investment Authority；Janchor Funds；Aspex Master Fund；Abstract Enigma Limited；Alisoft China Holding Limited；Perseverance Asset Management International (Singapore) Pte. Ltd.；Mirae Asset Securities Co., Ltd.；泰康人寿保险有限公司；MPC VII Pte. Ltd.；汇添富资产管理(香港)有限公司；Martis Fund, L.P；IDG Breyer Capital Fund L.P.；Eastspring Investments (Singapore) Limited；易方达基金管理有限公司",14,2723166600.0,0.5651,6.0,2026-07-09,产业方；长线基金；主权/国资,互联网服务和基础设施,港股IPO基石投资者.csv
0300.HK,0300.HK,美的集团,"中远海运控股(香港)有限公司；Splendor Achieve Limited；Supercluster Universe Limited；UBS Asset Management (Singapore) Ltd.；Golden Link Worldwide Limited；中国国有企业结构调整基金二期股份有限公司；睿远基金；大家人寿保险股份有限公司；HCEP Master Fund；CPE Investment XVI Limited；Metazone Link (HK) Limited；Jump Trading Pacific Pte. Ltd.；MY Asian Opportunities Master Fund, L.P.；Enreal Asset Management Limited；Pamalican Fund Ltd；Athos Capital Limited；中邮理财有限责任公司；Vanguard Focus Limited",18,9810991960.0,0.3165,6.0,2025-03-17,产业方；长线基金；主权/国资；上市公司关联,家用电器,港股IPO基石投资者.csv
0325.HK,0325.HK,布鲁可,景林资产管理香港有限公司；UBS Asset Management (Singapore) Ltd.；富国基金管理有限公司及富国资产管理(香港)有限公司及富国基金；富国资产管理(香港)有限公司,4,388465000.0,0.23199999999999998,6.0,2025-07-10,长线基金；主权/国资,休闲用品,港股IPO基石投资者.csv
0470.HK,0470.HK,先导智能,"Aspex Master Fund；MY Asian Opportunities Master Fund, L.P.；Oaktree Capital Management, L.P.；欧万达基金管理有限公司；Pinpoint Asset Management Limited；Qube Master Fund Ltd；Morgan Stanley & Co. International plc；无锡金筹投资管理有限公司及国泰海通证券股份有限公司；Integrated Core Strategies (Asia) Pte. Ltd.；Rome Garden Holding Limited",10,2143762500.0,0.4346,6.0,2026-08-11,产业方；长线基金；主权/国资；上市公司关联,重型电气设备,港股IPO基石投资者.csv
0501.HK,0501.HK,豪威集团,"Wildlife Willow Limited；UBS Asset Management (Singapore) Ltd.；Formosa Opportunity Limited；华勤通讯香港有限公司；天进贸易有限公司；Pudong Science and Technology (Cayman) Co., Ltd.；JSC International Investment Fund SPC；Ghisallo Fund Master Ltd；中邮理财有限责任公司；大家人寿保险股份有限公司",10,2173572960.0,0.4528,6.0,2026-07-12,产业方；长线基金；主权/国资；上市公司关联,半导体产品,港股IPO基石投资者.csv
0600.HK,0600.HK,爱芯元智,韦尔半导体香港有限公司；新马服装国际有限公司；JSC International Investment Fund SPC；NGS Super Pty Limited；Desay SV Automotive Singapore Pte. Ltd.；Factorial Master Fund；Hel Ved Master Fund；Valliance Asset Management Limited；明山资本有限公司；GRANITE ASIA IX VCC；Joyson Electronics Holdings Hong Kong Limited；Jupiter Global Master Fund Ltd.；NonaVerse (Hong Kong) Limited；青岛观澜投资管理有限公司及国泰君安证券投资(香港)有限公司；深圳市豪恩科技集团股份有限公司及CICC Financial Trading Limited；Jinyi Capital Multi-Strategy Fund SPC Ltd.,16,1442630000.0,0.4876,6.0,2026-08-10,产业方；长线基金；主权/国资；上市公司关联,半导体产品,港股IPO基石投资者.csv
0638.HK,0638.HK,广和通,香港勤道赣通有限公司；太平洋资产管理有限责任公司；张晓雷；RUIHUA (INTERNATIONAL) INVESTMENT LIMITED；广发基金管理有限公司；智度投资(香港)有限公司；国泰君安证券投资(香港)有限公司；广发国际资产管理有限公司；Dream’ee (HongKong) Open-ended Fund Company；中国太保投资管理(香港)有限公司,10,1249838000.0,0.43039999999999995,6.0,2026-04-22,产业方；长线基金；上市公司关联,通信设备,港股IPO基石投资者.csv
0664.HK,0664.HK,铜师傅,建投国际(香港)有限公司,1,30000000.0,0.0675,6.0,2026-09-30,长线基金；主权/国资,多品类零售,港股IPO基石投资者.csv
0699.HK,0699.HK,均胜电子,"Jun Sheng SP；宁波新质产业投资有限公司；钟鼎资本八期投资有限公司；Jump Trading Pacific Pte. Ltd.；Vandi Investments Limited；中邮理财有限责任公司；Fidelidade – Companhia de Seguros, S.A.",7,831974000.0,0.24389999999999992,6.0,2026-05-06,产业方；长线基金；主权/国资；上市公司关联,汽车零件与设备,港股IPO基石投资者.csv
0917.HK,0917.HK,趣致集团,金利富通有限合伙基金,1,78200000.0,0.15869999999999998,6.0,2024-11-27,产业方；长线基金,信息科技咨询与其它服务,港股IPO基石投资者.csv
