code,name,unlock_date,days_to_unlock,unlock_type,holder_name,unlock_shares,unlock_value_hkd,pct_total_shares,pct_float_shares,amount_ma20,unlock_value_to_20d_amount,price_gain_vs_issue,lockup_risk_score,lockup_risk_level,lockup_risk_reason,data_confidence
2469.HK,粉笔,,,2025/10/20,2027/10/20,1,55110.1,41332.575,24.613249444004406,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1201.HK,天臣控股,,,2024/10/07,2027/10/07,1,12000.0,24600.0,32.46004733518863,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2400.HK,心动公司,,,2024/09/06,2027/09/06,2,960.0,52224.0,1.9494991821891543,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2521.HK,升辉清洁,,,2025/06/16,2027/06/16,1,19375.5,21506.805,9.937504327511174,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1280.HK,奇点国峰,,,2025/12/16,2027/06/16,12,9406.953,20695.2966,4.865747580995237,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
6871.HK,翼菲科技,,,2026/05/18,2027/05/18,34,21691.0596,1165894.4535,88.55157471872428,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
7666.HK,剂泰科技-P,,,2026/05/13,2027/05/13,32,62687.123,1464371.19328,54.39164397026552,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
7630.HK,英派药业-B,,,2026/05/13,2027/05/13,43,23418.813,893661.90408,84.80003612331505,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2499.HK,佛朗斯股份,,,2026/05/11,2027/05/11,1,1450.0,8439.0,3.999748253086504,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
8321.HK,泰锦控股,,,2026/03/11,2027/03/11,2,29000.0,55100.0,54.0641312453393,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2649.HK,优乐赛共享,,,2026/03/09,2027/03/10,12,6239.5831,24334.37409,69.0708366542685,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2373.HK,美丽田园医疗健康,,,2026/01/07,2026/12/31,1,394.9536,7685.797056,1.5698070995135949,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9880.HK,优必选,,,2025/12/29,2026/12/29,1,7057.435,798195.8985,14.019498909868885,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2440.HK,迷策略,,,2025/12/19,2026/12/19,5,4904.9824,7651.772544,11.761727136864284,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2521.HK,升辉清洁,,,2024/12/13,2026/12/13,1,13098.0,14538.78,6.717836013612105,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0995.HK,安徽皖通高速公路,,,2025/06/09,2026/12/09,1,4998.1889,77022.090949,2.925326365048664,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1801.HK,信达生物,,,2025/12/05,2026/12/05,1,691.3834,55518.08702,0.3977497356944487,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2520.HK,山西安装,,,2023/11/22,2026/11/22,1,7201.8,14043.51,5.24344623825798,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
7630.HK,英派药业-B,,,2026/05/13,2026/11/13,11,1393.0,53156.88,5.044083588684784,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
7666.HK,剂泰科技-P,,,2026/05/13,2026/11/13,18,11041.5,257929.44,9.580362092828643,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2373.HK,美丽田园医疗健康,,,2026/01/07,2026/09/30,1,394.9536,7685.797056,1.5698070995135949,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
8195.HK,传承教育集团,,,2025/03/19,2026/09/19,1,1094.6,1258.79,2.3864928117336506,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2257.HK,圣诺医药-B,,,2026/03/07,2026/09/07,1,250.0,1407.5,2.278495221239061,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9669.HK,北森控股,,,2026/02/11,2026/08/11,1,3476.1638,11575.625454,4.721818460038681,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2627.HK,中慧生物-B,,,2025/08/11,2026/08/11,28,18155.5737,532321.420884,46.14541917931612,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
3938.HK,LFG投资控股,,,2025/08/05,2026/08/05,1,8119.2593,28011.444585,16.567536724728956,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
3393.HK,威胜控股,,,2026/04/27,2026/07/26,1,5000.0,129900.0,4.780664659154027,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
6683.HK,巨星传奇,,,2024/07/13,2026/07/13,2,10961.613,61165.80054,11.51746332096648,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2373.HK,美丽田园医疗健康,,,2026/01/07,2026/06/30,1,789.9075,15371.59995,3.1396153914258154,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
6883.HK,颖通控股,,,2025/06/26,2026/06/26,1,40002.0,81204.06,29.45655375552283,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2402.HK,亿华通,,,2025/12/23,2026/06/23,1,888.0,16046.16,3.691815230251968,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2297.HK,润迈德-B,,,2025/06/20,2026/06/20,1,23355.98,5371.8754,16.666666666666664,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0866.HK,中国秦发,,,2026/03/13,2026/06/11,1,9000.0,24480.0,3.4254213654115113,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9881.HK,容大科技,,,2025/06/10,2026/06/10,8,3699.2342,65476.44534,39.04905576726167,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
8391.HK,基石科技控股,,,2022/05/31,2026/05/31,2,899.6858,422.852326,0.8571579045649068,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
3680.HK,瑞和数智,,,2025/05/21,2026/05/21,1,13000.0,32110.0,14.457262639027208,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1729.HK,汇聚科技,,,2026/02/20,2026/05/21,1,10800.0,219240.0,5.158860902189505,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0990.HK,至源控股,,,2026/02/13,2026/05/13,1,51500.0,38625.0,3.479413613013116,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1030.HK,新城发展,,,2026/02/11,2026/05/12,1,19800.0,46728.0,2.7258679212024237,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9696.HK,天齐锂业,,,2026/02/11,2026/05/12,1,6505.0,397130.25,3.800127765027364,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1050.HK,嘉利国际,,,2026/02/11,2026/05/12,1,6583.2,18037.968,3.153938168400905,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1672.HK,歌礼制药-B,,,2026/02/10,2026/05/11,1,6925.6,117250.408,6.481882384842103,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2629.HK,MIRXES-B,,,2026/02/05,2026/05/06,1,2188.8,27163.008,7.33929373535115,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0863.HK,OSL集团,,,2026/02/04,2026/05/05,1,10469.8,136735.588,11.603861618139296,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9858.HK,优然牧业,,,2026/01/26,2026/04/26,1,29925.0,112218.75,7.138635076842497,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2268.HK,药明合联,,,2025/10/22,2026/04/22,1,2413.4,143235.29,1.9148751738861611,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0815.HK,中国白银集团,,,2026/01/22,2026/04/22,1,5500.0,2557.5,1.811392802390322,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
3759.HK,康龙化成,,,2026/01/22,2026/04/22,1,5844.0762,122725.6002,3.180824185736444,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1993.HK,雅仕维,,,2023/04/17,2026/04/17,3,923.5063,591.044032,1.9044872091397425,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1776.HK,广发证券,,,2026/01/14,2026/04/14,1,21900.0,353028.0,2.79877730099763,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2276.HK,康耐特光学,,,2026/02/03,2026/04/04,1,2700.0,114750.0,5.326231691078561,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1815.HK,珠峰黄金,,,2025/12/31,2026/03/31,2,2170.0,2235.1,1.5663628529066036,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1662.HK,义合控股,,,2025/09/30,2026/03/29,1,1500.0,1335.0,2.912621359223301,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0020.HK,商汤-W,,,2025/12/29,2026/03/29,1,175000.0,325500.0,4.3291073494439125,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0815.HK,中国白银集团,,,2025/12/19,2026/03/19,1,2700.0,1282.5,0.8892291939007035,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9880.HK,优必选,,,2025/12/02,2026/03/02,1,3146.8,365028.8,6.251075521003793,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1378.HK,中国宏桥,,,2025/11/25,2026/02/23,1,40000.0,1492000.0,4.008535839953317,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2629.HK,MIRXES-B,,,2025/05/23,2026/02/23,33,14039.5344,322628.500512,47.07614531668813,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1747.HK,HOME CONTROL,,,2025/11/25,2026/02/23,1,2842.4,12989.768,5.312162429869513,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
8017.HK,捷利交易宝,,,2025/11/19,2026/02/17,1,7000.0,10640.0,9.33333333333333,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2627.HK,中慧生物-B,,,2025/08/11,2026/02/11,2,9673.9154,479245.768916,24.58786974262573,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1530.HK,三生制药,,,2025/08/01,2026/02/01,1,3114.25,72562.025,1.2270462408296865,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9880.HK,优必选,,,2025/01/16,2026/01/16,1,1988.88,264918.816,3.9508831454855806,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1541.HK,宜明昂科-B,,,2025/10/16,2026/01/14,1,2420.0,16141.4,5.60824297698793,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1709.HK,德林控股,,,2025/11/10,2026/01/09,1,6380.3,12122.57,3.0824717453283306,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9880.HK,优必选,,,2025/01/05,2026/01/05,3,1894.428,242297.3412,3.7632555285064746,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1709.HK,德林控股,,,2025/11/03,2026/01/02,1,25521.3,58188.564,12.32993529364574,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0863.HK,OSL集团,,,2025/10/02,2025/12/31,1,4751.8,80780.6,5.9801507623216,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
3896.HK,金山云,,,2025/10/02,2025/12/31,1,33800.0,186238.0,7.458430063259309,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9880.HK,优必选,,,2024/12/29,2025/12/29,1,7040.0,841280.0,13.98486451883396,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
6683.HK,巨星传奇,,,2025/11/27,2025/12/27,1,5449.7972,32698.7832,5.726149915866016,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
6883.HK,颖通控股,,,2025/06/26,2025/12/26,1,59998.0,127195.76,44.18114874815905,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1718.HK,宏基集团控股,,,2025/08/26,2025/12/24,1,2304.0,668.16,9.090909090909092,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
1072.HK,东方电气,,,2025/09/24,2025/12/23,1,6800.0,176392.0,1.9662497134487424,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0376.HK,云锋金融,,,2025/09/23,2025/12/22,1,19130.0,66381.1,4.712644850637713,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
0815.HK,中国白银集团,,,2025/09/17,2025/12/17,4,13666.8,9976.764,4.62601166151982,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2105.HK,来凯医药-B,,,2025/09/17,2025/12/16,1,3600.0,56160.0,8.063317649807201,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
9881.HK,容大科技,,,2025/06/10,2025/12/10,8,4737.0658,60208.106318,50.00438917800555,0.0,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2268.HK,药明合联,,,2025/09/10,2025/12/10,1,2227.7,157052.85,1.774954263614832,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
2096.HK,先声药业,,,2025/09/10,2025/12/09,1,12100.0,166980.0,4.661559927509245,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
6069.HK,盛业,,,2025/09/10,2025/12/09,1,5628.6,59381.73,5.283454171735664,,,,36.0,低风险,缺少解禁市值或成交额，风险评级置信度较低,iFind精确
