p04477_f001,p04477_f002,p04477_f003,p04477_f004,p04477_f005,p04477_f006,p04477_f007,p04477_f008,p04477_f009,p04477_f010,p04477_f011,p04477_f012,p04477_f013,p04477_f014,p04477_f015,p04477_f016,p04477_f017,p04477_f018,p04477_f019,p04477_f020,p04477_f021,p04477_f022,p04477_f023
2579.HK,中伟新材,2025/11/16,40241,39925,316,0,81071.00000000000000000000,3015.00000000000000000000,78056.0000000000000000,0,13791.2832000000000000000000000000000000000000,13475.2832000000000000000000000000000000000000,316,0,2871,80,2791,0,27.9000000000000000,10.0000000000000000,原材料业,原材料
6871.HK,翼菲科技,2026/05/15,330334,294413,35921,0,26265.00000000000000000000,6115.00000000000000000000,20150.0000000000000000,0,49164.9752000000000000000000000000000000000000,24387.5752000000000000000000000000000000000000,24777.400000000000000000000000000000000000,0,37,32,5,0,14855.400000000000,3.0000000000000000,工业,信息技术
7630.HK,英派药业-B,2026/05/12,221788,211146,10642,0,63009.00000000000000000000,4015.00000000000000000000,58994.0000000000000000,0,18553.1961000000000000000000000000000000000000,10514.2461000000000000000000000000000000000000,8038.950000000000000000000000000000000000,0,43,28,15,0,2282.4000000000000000,1.5000000000000000,医疗保健业,医疗保健
7666.HK,剂泰科技-P,2026/05/12,383309,340083,43226,0,49316.00000000000000000000,3255.00000000000000000000,46061.0000000000000000,0,66824.0238000000000000000000000000000000000000,38551.8238000000000000000000000000000000000000,28272.200000000000000000000000000000000000,0,45,31,14,0,6910.9600000000000000,0.14000000000000000000,医疗保健业,医疗保健
1236.HK,乐动机器人,2026/05/08,296740,259886,36854,0,51348.00000000000000000000,3015.00000000000000000000,48333.0000000000000000,0,17226.3433000000000000000000000000000000000000,8099.7633000000000000000000000000000000000000,9126.5800000000000000000000000000000000000000,0,39,27,12,0,6707.6600000000000000,0.80000000000000000000,资讯科技业,工业
1187.HK,可孚医疗,2026/05/05,105939,104431,1508,0,73615.00000000000000000000,6115.00000000000000000000,67500.0000000000000000,0,15083.0065000000000000000000000000000000000000,13575.0065000000000000000000000000000000000000,1508,0,152,32,120,0,399.0800000000000000,5.0000000000000000,医疗保健业,医疗保健
1609.HK,天星医疗,2026/05/04,300735,264904,35831,0,47477.00000000000000000000,6055.00000000000000000000,41422.0000000000000000,0,19151.3736000000000000000000000000000000000000,8859.6146000000000000000000000000000000000000,10291.7590000000000000000000000000000000000000,0,43,32,11,0,7823.1300000000000000,1.5000000000000000,医疗保健业,医疗保健
6810.HK,商米科技-W,2026/04/28,204939,193590,11349,0,105428.00000000000000000000,6615.00000000000000000000,98813.0000000000000000,0,33070.7594000000000000000000000000000000000000,21721.7594000000000000000000000000000000000000,11349,0,55,30,25,0,2003.1600000000000000,5.0000000000000000,资讯科技业,信息技术
1879.HK,曦智科技-P,2026/04/27,378085,335445,42640,0,102987.00000000000000000000,5995.00000000000000000000,96992.0000000000000000,0,134273.7335000000000000000000000000000000000000,91633.7335000000000000000000000000000000000000,42640,0,53,28,25,0,5784.7000000000000000,6.0000000000000000,资讯科技业,信息技术
2493.HK,迈威生物-B,2026/04/27,126378,122556,3822,0,51798.00000000000000000000,3015.00000000000000000000,48783.0000000000000000,0,14796.6271000000000000000000000000000000000000,10974.6271000000000000000000000000000000000000,3822,0,82,27,55,0,481.7100000000000000,1.00000000000000000000,医疗保健业,医疗保健
