p05309_f001,p05309_f002,p05309_f003,p05309_f016,p05309_f004,p05309_f017,p05309_f005,p05309_f018,p05309_f006,p05309_f019,p05309_f009,p05309_f008,p05309_f011,p05309_f014,p05309_f010,p05309_f015,p05309_f012,p05309_f013
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,贵州省新型工业化发展股权投资基金合伙企业(有限合伙),"贵州新型工业化基金于2021年3月29日在中国贵州成立,主要从事先进制造及新材料产业的战略股权投资及产业合作。",贵州省人民政府国有资产监督管理委员会,,22159800,759602820.0000,HKD,21.2600,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,宝达投资(香港)有限公司,"宝达投资为于1984年10月30日在香港注册成立的有限公司,主要从事商品贸易、投资、船舶租赁及融资租赁。",厦门国贸集团股份有限公司,"厦门国贸集团股份有限公司为股份于上海证券交易所上市的公司(股份代号600755),主要从事供应链管理业务、健康科技业务等。",6383400,216696510.0000,HKD,6.1200,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,中创新航科技集团股份有限公司,"中创新航科技集团是一家于2015年12月8日在中国注册成立的股份有限公司,其股份于香港联交所上市(股份代号03931)。中创新航科技集团主要为以动力及储能为代表的新能源全场景应用市场提供完善的产品解决方案和全生命周期管理。",,,4523000,153784620.0000,HKD,4.3400,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,东圣先行科技及国泰君安证券投资(香港)有限公司,"国泰君安证券投资(香港)有限公司是一家在香港注册成立的公司。其主要业务活动为贸易及投资。该公司由中国领先的证券公司国泰海通证券股份有限公司间接全资拥有,该公司股票在上海(上交所601211)和香港(联交所2611)双重上市。
    国泰海通最终客户(东圣先行科技)是一家于1999年12月10日在中国注册成立的有限责任公司,主要从事新能源行业的动力电池材料领域研究。",国泰海通证券股份有限公司及高力先生,"国泰海通证券股份有限公司股票在上海(上交所601211)和香港(联交所2611)双重上市。
  高力先生拥有超过20年的投资经验,且为独立第三方",3426400,116503500.0000,HKD,3.2900,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,NR 1 SP,"NR 1 SP为North Rock SPC(‘North Rock基金’)的独立投资组合,该公司为于开曼群岛注册成立的获豁免公司,并根据开曼公司法(经修订)注册为独立投资组合公司。","North Rock Capital Management, LLC","North Rock Capital Management, LLC是一家建立在全球多项目管理投资平台的投资管理公司。",3426400,116503500.0000,HKD,3.2900,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,上海高毅及华泰资本投资有限公司,"华泰资本投资有限公司为华泰证券的间接全资附属公司。上海高毅为于中国成立的有限合伙企业,从事资产管理及投资管理,主要专注于二级市场投资。",华泰证券股份有限公司,"华泰证券的股份于上海证券交易所(股份代号601688)及联交所(股份代号6886)上市,其全球存托凭证于伦敦证券交易所(伦敦证券交易所HTSC)上市。",2512800,85435900.0000,HKD,2.4100,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,蓝思国际(香港)有限公司,蓝思国际(香港)有限公司是一家在香港注册成立的有限公司。,蓝思科技股份有限公司,"蓝思科技股份有限公司作为行业领先的一站式智能制造综合解决方案提供商,蓝思科技业务布局广泛,涵盖智能手机与电脑、智能汽车与座舱、智能头显与可穿戴设备、人形机器人及其他智能终端领域,提供结构件、功能模块及整机组装等解决方案,蓝思科技在消费电子及智能汽车行业的大规模精密研发与制造领域积淀了多年经验。",2284200,77669000.0000,HKD,2.1900,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,湖南兴湘新兴产业投资基金合伙企业(有限合伙),"湖南兴湘新兴产业投资基金合伙企业(有限合伙)(‘湖南兴湘新兴产业母基金’)为于2020年8月13日在中国成立的私募股权基金,旨在支持湖南省现代产业体系的发展,重点投向战略新兴产业。",湖南省人民政府国有资产监督管理委员会,,2284200,77669000.0000,HKD,2.1900,6,2026/05/17,特殊化工用品,商品化工
2579.HK,中伟新材,2025/11/17,2025/11/07,2025/11/16,是,欣旺达财资(香港)有限公司,"欣旺达财资(香港)有限公司是一家于2024年9月17日在香港注册成立的有限公司,主要从事投融资服务、供应链融资及国际贸易咨询。",欣旺达电子股份有限公司,"欣旺达电子股份有限公司，一家股份于深圳证券交易所上市(股份代号300207)的公司,主要专注于锂离子电池行业。",1595800,54368300.0000,HKD,1.5300,6,2026/05/17,特殊化工用品,商品化工
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,南京生物医药谷建设发展有限公司及华泰资本投资有限公司,"华泰资本投资有限公司(‘华泰资本投资’)将作为其与华泰证券股份有限公司(‘华泰证券’)订立的一笔背对背总收益掉期交易(‘华泰背对背TRS’)的单一交易对手方,该交易与由最终客户(‘最终客户(BPV)’)下达并由其全额出资的总收益掉期订单(‘华泰客户TRS’)相关联,透过该订单,华泰资本投资会将向其交付的发售股份的全部经济风险最终转移给最终客户(BPV)。华泰资本投资将以非全权酌情方式持有发售股份,以对冲与最终客户(BPV)下达的华泰客户TRS订单相关的华泰背对背TRS,并将透过华泰背对背TRS和华泰客户TRS,最终将发售股份的全部经济风险转移给最终客户(BPV),但需扣除常规费用和佣金。华泰资本投资不会因发售股份而获得任何经济收益,亦不会承担任何相关的经济损失。最终客户(BPV)在自华泰资本投资、本公司、整体协调人及联席保荐人签署基石投资协议之日起至上市日期后六个月当日止的禁售期届满后,可自行决定提前终止华泰客户TRS。于华泰客户TRS到期或由最终客户(BPV)提前终止时,华泰资本投资将相应地终止华泰背对背TRS,并在二级市场处置发行股份,而最终客户(BPV)将根据华泰背对背TRS和华泰客户TRS的条款及条件,以现金形式获得华泰客户TRS的最终结算金额。在华泰背对背TRS的有效期内,华泰资本投资将不会行使发售股份的投票权。",,,4775600,95961600.0000,HKD,11.3800,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,黄河投资有限公司,黄河投资有限公司(‘黄河’)由腾讯控股有限公司(‘腾讯控股’)全资拥有。,腾讯控股有限公司,腾讯是一家在联交所上市的公司(股份代号00700(港币柜台)和80700(人民币柜台))。腾讯于中国主要从事提供通讯、社交、数字内容、游戏、营销服务、金融科技及商业服务。,3117800,62668800.0000,HKD,7.4300,6,2026/11/13,生物技术,制药
7630.HK,英派药业-B,2026/05/13,2026/05/05,2026/05/12,是,Foresight Global Superior Choice SPC — Vision Fund 1 SP,均为Foresight Global Superior Choice SPC的子基金，该公司于2016年10月17日在开曼群岛注册成立。,睿远基金(香港)有限公司,"睿远香港于2022年4月26日在香港注册成立,并自2023年3月24日起成为证券及期货条例所规定的第4类(证券咨询)和第9类(资产管理)的持牌公司。睿远基金管理有限公司是基金的投资顾问,该公司是一家总部位于上海的资产管理公司,由陈光明先生创立。",993800,19975680.0000,HKD,2.3700,6,2026/11/13,生物技术,制药
