thscode,total_oi,gross_selling_rate,profit_after_tax,operating_revenue_yoy,np_atsopc_yoy,ncf_from_oa,asset_liab_ratio,rad_expense_to_total_income
0068.HK,819994000.0,82.2308,-427905000.0,8.6329,16.6644,-19217000.0,859.6021,
0100.HK,79038000.0,25.4042,-1871617000.0,158.9457,-302.2924,-279641000.0,343.3095,
0300.HK,131010525000.0,25.5211,12859511000.0,2.4467,2.0312,14529165000.0,60.0182,3.1659047397999
0325.HK,2913338000.0,46.8186,633737000.0,30.0058,258.0206,896927000.0,30.3944,
0470.HK,3657422678.54,33.0089,389309048.74,18.4309,10.9899,1247581972.19,61.6355,10.982654968989
0501.HK,6403412182.36,29.2635,493680572.36,-0.9425,-41.9207,737078999.39,33.1322,11.196490636742
0600.HK,561689000.0,21.5933,-1184207000.0,18.7774,0.7056,-679920000.0,233.5531,
0638.HK,1674486774.54,13.0847,13883149.03,-9.5276,-91.7938,-1043794008.77,37.7666,7.3703660813575
0664.HK,617337000.0,33.6667,47838000.0,8.0795,-39.4318,21497000.0,18.1213,
0699.HK,13769686770.38,17.3933,462718972.33,-5.1474,18.105,914854103.42,64.9214,6.075871698233
0800.HK,114140000.0,34.6977,-389085000.0,57.5714,-1.0421,,12.3546,
0805.HK,871373000.0,27.2219,32112000.0,0.8341,-28.8731,-70504000.0,59.6251,
0917.HK,1663244000.0,57.3137,290122000.0,24.169,117.088,368947000.0,26.0741,
0999.HK,5345091000.0,70.3988,715092000.0,2.5954,23.1596,1162214000.0,35.7447,
1021.HK,386867000.0,37.6018,-29917000.0,24.6185,-267.424,-17417000.0,21.5742,
1187.HK,1001889716.0,54.6851,107411758.99,37.1313,17.0813,102560132.89,31.0338,2.1819735413235
1236.HK,747773000.0,25.6689,-62501000.0,60.0045,-10.6545,-136473000.0,45.4751,
1276.HK,8076065230.37,86.4916,2280994705.34,13.0223,21.7823,786445900.71,10.0244,20.276536277383
1304.HK,249095570.99,51.5879,88267191.13,46.3847,75.0895,51782617.44,2.2849,14.887547109053
1318.HK,5050455000.0,84.2238,1205440000.0,30.0091,36.7339,1199426000.0,15.5985,
1333.HK,779483000.0,11.0553,-318202000.0,22.6649,-16.0563,-174621000.0,64.0897,
1334.HK,501959000.0,29.5098,4623000.0,13.006,-51.4377,-16831000.0,55.8223,
1354.HK,1049218000.0,15.4629,66188000.0,10.2668,8.3295,38894000.0,66.2278,
1364.HK,12913774000.0,33.0049,3115489000.0,46.8917,110.2877,2408612000.0,64.9121,
1384.HK,414991000.0,55.0747,-934559000.0,70.8302,25.5326,-198908000.0,23.4079,
1471.HK,248051000.0,36.636,56891000.0,20.5143,10.8087,89230000.0,28.605,
1511.HK,,,,,,,,
1609.HK,402751000.0,74.1448,136970000.0,23.1206,43.591,157116000.0,20.2418,
1641.HK,236507000.0,52.3481,76317000.0,1.2548,-7.9187,127394000.0,29.6778,
1768.HK,66170336000.0,9.8315,2329141000.0,68.1861,179.3737,3048774000.0,35.8448,
1828.HK,4835000000.0,,160000000.0,20.2138,233.3333,247000000.0,88.9726,
1879.HK,106368000.0,38.9854,-1342376000.0,76.7174,-82.5666,-361099000.0,473.3286,
1989.HK,1904464171.49,36.6179,392553470.97,71.4588,63.3108,320023445.43,37.1884,4.9477571564967
2026.HK,90001000.0,15.7343,-76758000.0,19.9613,51.1278,-164955000.0,5.7279,
2050.HK,7730826625.26,27.3976,950867700.26,1.3427,2.6793,1105790187.12,33.2778,4.7270734063096
2097.HK,33559923000.0,31.1436,5927077000.0,35.1649,32.6879,6039033000.0,19.5653,
2228.HK,802623000.0,69.6688,134579000.0,201.2476,108.1595,-165411000.0,7.6987,
2259.HK,5383480000.0,52.6965,1872467000.0,80.0534,232.7072,2402470000.0,29.221,
2396.HK,522000.0,92.1456,-208984000.0,100.0,1.5388,-80714000.0,8.7194,
2408.HK,1622358000.0,67.5975,106124000.0,40.5328,74.8336,448034000.0,60.5489,
2410.HK,,,-305972000.0,,22.5316,-215768000.0,63.2427,
2431.HK,759017000.0,18.6232,-416267000.0,15.9724,-84.8374,-424512000.0,44.1618,
2432.HK,492209000.0,46.0597,-84047000.0,31.7201,12.4031,-42594000.0,15.4758,23.233313896652
2438.HK,323033000.0,50.0627,-68852000.0,-17.2449,90.457,-79837000.0,35.9054,
2443.HK,271075000.0,62.6133,21688000.0,-33.6562,106.7202,37374000.0,22.6673,
2453.HK,459922000.0,6.9468,-305796000.0,18.4435,42.1052,-113082000.0,64.9963,
2460.HK,11002111000.0,45.6762,1008473000.0,-18.6309,-39.7969,1511086000.0,26.4816,
2465.HK,3481018418.36,19.4136,286373647.19,120.3562,925.71,-1733349472.85,80.8046,3.773701282215
2476.HK,5502889023.25,34.2608,1288427592.46,27.9154,39.948,2116658463.16,55.2339,2.8046728182987
2477.HK,218527000.0,8.2296,15239000.0,-21.4562,-23.853,-19788000.0,34.9876,
2479.HK,258715000.0,21.79,8377000.0,48.0376,16.9801,-72190000.0,11.3986,
2493.HK,125763474.84,75.8016,-243042847.72,191.7124,17.0654,-234163171.12,93.6692,128.91778245509
2495.HK,1006934000.0,54.745,140218000.0,6.9597,160.3003,212546000.0,42.1845,
2497.HK,191026000.0,44.2442,63385000.0,4.8171,22.4736,83428000.0,27.461,
2498.HK,1941008000.0,26.4889,-144966000.0,17.7152,69.7149,-581824000.0,27.7313,
2503.HK,425318000.0,3.7983,-36484000.0,-43.3329,-1976.749,-164247000.0,65.8668,
2505.HK,1987271000.0,9.991,-12156000.0,17.5844,-125.8265,160997000.0,76.3541,
2506.HK,914993000.0,50.4533,-65767000.0,24.6612,51.1403,-42972000.0,59.0096,
2507.HK,1354365000.0,35.2282,138878000.0,13.134,15.0166,145997000.0,39.4573,
2508.HK,1045859000.0,35.9729,411180000.0,30.9507,116.4079,53581000.0,35.5572,
2509.HK,806961000.0,88.5312,307444000.0,408.1842,193.7051,399848000.0,57.5651,
2510.HK,1284763000.0,19.7464,328887000.0,-4.1506,-10.115,502145000.0,13.7554,
2512.HK,943497000.0,10.1764,11764000.0,33.3322,-4.4827,42778000.0,62.3817,
2513.HK,724334000.0,40.9557,-4718167000.0,131.8507,-58.9115,-2246123000.0,267.1037,
2515.HK,244392000.0,7.2302,-48535000.0,-19.2095,-323.1494,35625000.0,56.8557,
2519.HK,13698738000.0,26.3394,152586000.0,27.9103,-68.0469,630876000.0,68.8932,
2522.HK,873120000.0,33.8143,-10505000.0,14.7949,108.1622,177438000.0,29.8633,
2525.HK,3027573000.0,41.7858,435880000.0,45.7556,525.7639,116987000.0,20.4464,
2526.HK,164424000.0,71.8186,-67137000.0,133.7162,-54.7827,-50537000.0,23.1239,
2529.HK,674664000.0,25.7426,74488000.0,-1.2943,3.5041,53553000.0,56.4191,
2530.HK,189336000.0,69.017,5503000.0,-31.7696,-92.6529,,3.581,
2531.HK,717075000.0,71.6286,21835000.0,2.3782,-53.3303,25755000.0,36.4579,
2533.HK,822328000.0,40.992,-1424700000.0,73.3947,-554.7181,-985373000.0,56.2117,
2535.HK,347733000.0,13.4192,16114000.0,-12.7314,-48.8444,19288000.0,13.7056,
2536.HK,225517000.0,93.4386,11605000.0,7.2022,-26.0498,23198000.0,27.5212,
2539.HK,906778000.0,33.6741,93731000.0,13.6326,9.2347,240835000.0,29.989,
2540.HK,1549029000.0,5.439,39676000.0,127.2933,-45.2662,-298171000.0,35.9461,
2543.HK,641470000.0,33.3998,61123000.0,42.3212,21.4344,37903000.0,29.1421,
2545.HK,460281000.0,14.89,7639000.0,-16.4738,-21.3204,-246414000.0,71.3951,
2546.HK,616014000.0,36.3719,150041000.0,104.3612,168.6307,146030000.0,20.4454,
2549.HK,2156671000.0,31.7812,257819000.0,4.0236,-27.5814,-54492000.0,25.8614,
2550.HK,781632000.0,41.4186,32487000.0,29.3741,1659.5204,-18831000.0,16.5782,
2551.HK,2431138000.0,16.5954,62039000.0,-6.2084,-40.8386,106332000.0,57.1046,
2555.HK,5395068000.0,32.5082,821355000.0,9.7005,70.4626,680407000.0,16.7874,
2556.HK,2818023000.0,42.02,73268000.0,80.8064,110.1456,-676342000.0,63.4857,
2559.HK,502441000.0,66.2629,129814000.0,-36.1751,-87.0746,78392000.0,27.8821,
2560.HK,2314260000.0,18.1558,131077000.0,-2.9314,-12.9468,201852000.0,49.0521,
2561.HK,165000.0,11.5152,-253422000.0,,-39.058,-447583000.0,22.0243,
2562.HK,83874000.0,24.7669,-51490000.0,-17.6584,80.9132,-19397000.0,45.0788,
2563.HK,32277341.42,91.9232,-131435108.56,-54.4297,8.5837,-151517441.7,13.9732,
2565.HK,,,-208547000.0,,26.4149,-151906000.0,25.1394,
2566.HK,1306301000.0,80.6907,138407000.0,-4.5927,-0.14,254839000.0,22.1789,
2567.HK,1768710000.0,18.4643,-57871000.0,23.0827,87.4022,-46623000.0,68.4845,
2569.HK,905474000.0,34.7654,55851000.0,20.2759,2.0091,58414000.0,36.4662,
2570.HK,595186000.0,11.5428,-629653000.0,-8.26,18.2381,-165751000.0,60.1372,
2571.HK,262447000.0,53.543,59622000.0,18.2817,4.8429,86220000.0,12.4094,
2573.HK,583198000.0,18.6182,13059000.0,2.5192,-69.9143,-35311000.0,41.4687,
2575.HK,51772000.0,64.4538,-245509000.0,72.0343,55.8778,-209961000.0,16.4655,
2576.HK,512544000.0,42.4434,-50701000.0,-7.0056,80.0353,-39382000.0,23.4827,
2577.HK,1213273000.0,7.3161,-840513000.0,46.4494,19.6202,-806431000.0,40.4485,
2579.HK,15698720342.84,12.1348,779329089.22,45.8751,80.5445,23261505.58,59.2482,1.9300386255403
2580.HK,30048580000.0,18.835,2234983000.0,0.972,-23.201,2887051000.0,68.3049,
2581.HK,2718346000.0,15.6001,94936000.0,2.2329,-12.8404,349501000.0,41.5206,
2582.HK,346374000.0,1.1176,-381684000.0,-24.4729,-82.1257,-155879000.0,59.1726,
2583.HK,610842000.0,31.5294,101896000.0,33.7934,106.4886,-101379000.0,19.3311,
2585.HK,20709567000.0,7.6246,109946000.0,5.056,-49.028,76045000.0,52.1742,
2586.HK,2226756000.0,38.1623,127106000.0,19.7823,106.0914,191974000.0,44.8993,
2587.HK,1562518000.0,30.4824,54338000.0,30.1258,120.7416,74979000.0,59.8137,
2589.HK,4465644000.0,31.4452,501317000.0,35.958,52.408,752983000.0,35.4301,
2590.HK,3171013000.0,35.4788,-10407000.0,31.6313,98.7484,85663000.0,40.358,
