jydm,jydm_mc,p03764_f001,p03764_f011,p03764_f002,p03764_f003,p03764_f004,p03764_f005,p03764_f006,p03764_f007,p03764_f008,p03764_f009,p03764_f010
2469.HK,粉笔,限售中,2025/10/20,2027/10/20,1,55110.100000000000,0.7500,41332.5750000000000000,223904.203000000000,24.61324944400440754600,教育,综合消费者服务
1201.HK,天臣控股,限售中,2024/10/07,2027/10/07,1,12000.0000000000000000,2.0500,24600.00000000000000000000,36968.522800000000,32.46004733518862701200,能源储存装置,电子设备、仪器和元件
2726.HK,瀚天天成,限售中,2026/03/30,2027/09/30,1,1005.8500000000000000,105.1000,105714.83500000000000000000,42558.481000000000,2.36345371443120820000,半导体设备与材料,半导体产品与设备
2400.HK,心动公司,限售中,2024/09/06,2027/09/06,2,960.0000000000000000,54.4000,52224.00000000000000000000,49243.416400000000,1.94949918218915452800,游戏软件,互动媒体与服务
2677.HK,卓正医疗,限售中,2026/02/06,2027/08/06,1,264.0250000000000000,26.6000,7023.06500000000000000000,6458.0450000000000000,4.08831155558686878100,医疗及医学美容服务,医疗保健提供商与服务
0999.HK,小菜园,限售中,2024/12/20,2027/06/20,1,5294.3346000000000000,6.6800,35366.15512800000000000000,117651.880000000000,4.50000000000000000000,餐饮,酒店、餐馆与休闲
2521.HK,升辉清洁,限售中,2025/06/16,2027/06/16,1,19375.5000000000000000,1.1100,21506.80500000000000000000,194973.500000000000,9.93750432751117459600,其他支援服务,商业服务与商业用品
1280.HK,奇点国峰,限售中,2025/12/16,2027/06/16,12,9406.9530000000000000,2.2000,20695.29660000000000000000,193330.065800000000,4.86574758099523700700,家庭电器,专营零售
6871.HK,翼菲科技,限售中,2026/05/18,2027/05/18,34,21691.059600000000,53.7500,1165894.4535000000000000,24495.396800000000,88.55157471872429517000,工业零件及器材,电子设备、仪器和元件
7666.HK,剂泰科技-P,限售中,2026/05/13,2027/05/13,32,62687.123000000000,23.3600,1464371.1932800000000000,115251.385000000000,54.39164397026552002000,生物技术,生物科技
7630.HK,英派药业-B,限售中,2026/05/13,2027/05/13,43,23418.813000000000,38.1600,893661.9040800000000000,27616.513000000000,84.80003612331506153600,生物技术,制药
2499.HK,佛朗斯股份,限售中,2026/05/11,2027/05/11,1,1450.0000000000000000,5.8200,8439.00000000000000000000,36252.281600000000,3.99974825308650366400,工业零件及器材,商业服务与商业用品
1236.HK,乐动机器人,限售中,2026/05/11,2027/05/11,25,30000.000000000000,41.3000,1239000.0000000000000000,33333.340000000000,89.99998200000359999900,数码解决方案服务,机械制造
1609.HK,天星医疗,限售中,2026/05/05,2027/05/05,16,4640.9494000000000000,199.3000,924941.21542000000000000000,5483.1344000000000000,84.64044580048958858300,医疗设备及用品,医疗保健设备与用品
6810.HK,商米科技-W,限售中,2026/04/29,2027/04/29,13,26141.572400000000,70.4500,1841673.7755800000000000,40262.680000000000,64.92755176754254808700,电脑及周边器材,电子设备、仪器和元件
1879.HK,曦智科技-P,限售中,2026/04/28,2027/04/28,37,3762.4850000000000000,721.0000,2712751.68500000000000000000,9403.7377000000000000,40.01052687805190482900,半导体设备与材料,半导体产品与设备
3277.HK,长光辰芯,限售中,2026/04/17,2027/04/17,19,15547.0750000000000000,85.0000,1321501.37500000000000000000,44508.830000000000,34.93031607436097511400,电子零件,电子设备、仪器和元件
6656.HK,思格新能,限售中,2026/04/16,2027/04/16,17,12615.8441000000000000,533.0000,6724244.90530000000000000000,24883.293000000000,50.70005846894942723200,能源储存装置,电气设备
3677.HK,正力新能,限售中,2026/04/14,2027/04/14,1,24888.950800000000,7.6500,190400.4736200000000000,255442.110300000000,9.74347994963303433100,能源储存装置,电子设备、仪器和元件
0664.HK,铜师傅,限售中,2026/03/31,2027/03/31,57,5428.1249000000000000,18.9100,102645.84185900000000000000,6440.6800000000000000,84.27875472776166491700,玩具及消闲用品,多品类零售
3625.HK,傅里叶,限售中,2026/03/31,2027/03/31,41,9888.9800000000000000,118.7000,1173821.92600000000000000000,11200.0000000000000000,88.29446428571428571400,半导体,半导体产品与设备
1021.HK,华沿机器人,限售中,2026/03/30,2027/03/30,25,43266.718000000000,17.7800,769282.2460400000000000,55706.658000000000,77.66884525724016687600,工业零件及器材,电子设备、仪器和元件
6636.HK,极视角,限售中,2026/03/30,2027/03/30,8,9987.2436000000000000,97.8500,977251.78626000000000000000,11291.4783000000000000,88.44938930627002134900,数码解决方案服务,信息技术服务
2889.HK,博泰车联,限售中,2025/09/30,2027/03/30,3,454.6520000000000000,164.7000,74881.18440000000000000000,15519.3093000000000000,2.92958914092910049800,汽车零件,信息技术服务
2526.HK,德适-B,限售中,2026/03/30,2027/03/30,23,8088.0000000000000000,311.8000,2521838.40000000000000000000,8887.9200000000000000,90.99991899117003753400,医疗设备及用品,医疗保健设备与用品
