p05551_f001,jydm_mc,p05551_f002,p05551_f003,p05551_f004,p05551_f005,p05551_f006,p05551_f007,p05551_f008
2579.HK,中伟新材,2025/11/17,2025-11-12 18:07:59,7023410000,393970000,20.5290倍,超购于16.8270倍,HKD
6871.HK,翼菲科技,2026/05/18,2026-05-13 13:48:44,420621980000,37520000,14462.3206倍,超购于11211.1012倍,HKD
7666.HK,剂泰科技-P,2026/05/13,2026-05-08 17:43:18,544075360000,105650000,6642.2069倍,超购于5148.9976倍,HKD
7630.HK,英派药业-B,2026/05/13,2026-05-08 17:43:02,126731530000,91300000,1789.2885倍,超购于1387.0454倍,HKD
1236.HK,乐动机器人,2026/05/11,2026-05-06 17:17:32,539925890000,100000000,6963.6146倍,超购于5398.1509倍,HKD
1187.HK,可孚医疗,2026/05/06,2026-04-30 16:50:18,32746720000,106190000,411.8833倍,超购于307.3756倍,HKD
1609.HK,天星医疗,2026/05/05,2026-04-29 17:44:00,530508570000,82960000,8248.2673倍,超购于6394.0057倍,HKD
6810.HK,商米科技-W,2026/04/29,2026-04-24 11:38:36,127744410000,105970000,1553.7648倍,超购于1204.4689倍,HKD
2493.HK,迈威生物-B,2026/04/28,2026-04-23 17:16:17,43249850000,144740000,399.0596倍,超购于297.8057倍,HKD
1879.HK,曦智科技-P,2026/04/28,2026-04-23 17:16:02,588019810000,126370000,6001.4391倍,超购于4652.2784倍,HKD
3296.HK,华勤技术,2026/04/23,2026-04-20 18:07:17,191721040000,454930000,563.3811倍,超购于420.4337倍,HKD
2476.HK,胜宏科技,2026/04/21,2026-04-16 18:09:07,530029520000,1749310000,404.6717倍,超购于301.9938倍,HKD
0068.HK,群核科技,2026/04/17,2026-04-14 16:28:18,131191990000,122390000,1381.4560倍,超购于1070.8961倍,HKD
3277.HK,长光辰芯,2026/04/17,2026-04-14 16:28:02,213781830000,260400000,1065.9817倍,超购于819.9859倍,HKD
6656.HK,思格新能,2026/04/16,2026-04-13 17:33:19,358612800000,440070000,1058.0714倍,超购于813.9011倍,HKD
0664.HK,铜师傅,2026/03/31,2026-03-26 17:35:08,2324170000,50370000,58.5952倍,超购于45.0732倍,HKD
3625.HK,傅里叶,2026/03/31,2026-03-26 17:34:51,52185590000,30000000,2225.0508倍,超购于1738.3210倍,HKD
1021.HK,华沿机器人,2026/03/30,2026-03-25 17:26:08,281351030000,68670000,5243.0824倍,超购于4096.1581倍,HKD
6636.HK,极视角,2026/03/30,2026-03-25 17:25:55,83851250000,24960000,4298.7841倍,超购于3358.4250倍,HKD
2526.HK,德适-B,2026/03/30,2026-03-25 17:25:42,63781570000,89990000,905.8923倍,超购于707.7284倍,HKD
2726.HK,瀚天天成,2026/03/30,2026-03-25 17:25:24,5122080000,163900000,39.3261倍,超购于30.2509倍,HKD
2729.HK,凯乐士科技,2026/03/24,2026-03-19 11:44:55,115379180000,75070000,1966.0763倍,超购于1535.9971倍,HKD
2632.HK,泽景股份,2026/03/24,2026-03-19 11:44:51,2430670000,77890000,39.2698倍,超购于30.2075倍,HKD
3355.HK,飞速创新,2026/03/23,2026-03-18 16:58:32,203096140000,166400000,1560.9980倍,超购于1219.5296倍,HKD
2701.HK,国民技术,2026/03/23,2026-03-18 16:58:16,6133240000,102600000,76.4116倍,超购于58.7781倍,HKD
1989.HK,广合科技,2026/03/20,2026-03-17 18:08:49,272484660000,330650000,1053.5588倍,超购于823.0928倍,HKD
3268.HK,美格智能,2026/03/10,2026-03-05 17:03:42,11663060000,101010000,148.8037倍,超购于114.4644倍,HKD
2649.HK,优乐赛共享,2026/03/09,2026-03-04 22:05:10,116858320000,28480000,5251.5170倍,超购于4102.7477倍,HKD
2715.HK,埃斯顿,2026/03/09,2026-03-04 16:55:43,2081470000,164530000,16.8944倍,超购于11.6513倍,HKD
2692.HK,兆威机电,2026/03/09,2026-03-04 16:55:27,233819240000,197090000,1517.2838倍,超购于1185.3779倍,HKD
2706.HK,海致科技集团,2026/02/13,2026-02-10 10:34:39,319330960000,78490000,5206.3351倍,超购于4067.4493倍,HKD
9981.HK,沃尔核材,2026/02/13,2026-02-10 10:34:36,126504020000,281240000,583.4506倍,超购于448.8082倍,HKD
