p03412_f001,p03412_f002,p03412_f003,p03412_f004,p03412_f005,p03412_f006,p03412_f007,p03412_f008
富途证券国际(香港)有限公司,9981.HK,沃尔核材,包销商、牵头经办人、账簿管理人,2026/02/13,2.93678446988551518200,工业零件及器材,电子设备和仪器
富途证券国际(香港)有限公司,9611.HK,龙旗科技,牵头经办人、账簿管理人、包销商,2026/01/22,3.5483870967741900,消费性电讯设备,电脑硬件、储存设备及电脑周边
富途证券国际(香港)有限公司,7666.HK,剂泰科技-P,牵头经办人、包销商、账簿管理人,2026/05/13,126.6666666666666700,生物技术,生物科技
富途证券国际(香港)有限公司,7618.HK,京东工业,全球协调人、承销商、牵头经办人、账簿管理人,2025/12/11,0.00000000000000000000,采购及供应链管理,贸易公司与经销商
富途证券国际(香港)有限公司,6938.HK,瑞博生物-B,承销商、账簿管理人、牵头经办人,2026/01/09,41.6249784371226500,生物技术,制药
富途证券国际(香港)有限公司,6810.HK,商米科技-W,账簿管理人、牵头经办人、包销商,2026/04/29,241.1102172164119100,电脑及周边器材,电子设备和仪器
富途证券国际(香港)有限公司,6651.HK,五一视界,牵头经办人、账簿管理人、整体协调人、全球协调人、包销商,2025/12/30,29.9016393442623000,数码解决方案服务,应用软件
富途证券国际(香港)有限公司,6600.HK,卧安机器人,牵头经办人、包销商、账簿管理人,2025/12/30,0.06775067750677506800,家庭电器,家用电器
富途证券国际(香港)有限公司,6082.HK,壁仞科技,账簿管理人、牵头经办人、包销商、全球协调人,2026/01/02,75.8163265306122400,数码解决方案服务,电脑硬件、储存设备及电脑周边
富途证券国际(香港)有限公司,3887.HK,HASHKEY HLDGS,全球协调人、账簿管理人、包销商、牵头经办人,2025/12/17,-0.14970059880239521000,其他金融,交易与支付处理服务
富途证券国际(香港)有限公司,3636.HK,金浔资源,包销商、牵头经办人,2026/01/09,26.0000000000000000,铜,铜
富途证券国际(香港)有限公司,3355.HK,飞速创新,账簿管理人、包销商,2026/03/23,13.4615384615384600,互联网服务及基础设施,互联网服务和基础设施
富途证券国际(香港)有限公司,3317.HK,迅策,全球协调人、整体协调人、包销商、牵头经办人、账簿管理人,2025/12/30,1.04166666666666666700,数码解决方案服务,互联网服务和基础设施
富途证券国际(香港)有限公司,3296.HK,华勤技术,包销商、牵头经办人、账簿管理人,2026/04/23,13.2561132561132600,消费性电讯设备,互联网服务和基础设施
富途证券国际(香港)有限公司,3268.HK,美格智能,包销商、牵头经办人、账簿管理人、全球协调人,2026/03/10,1.5246015246015200,消费性电讯设备,通信设备
富途证券国际(香港)有限公司,2726.HK,瀚天天成,账簿管理人、承销商、全球协调人、牵头经办人,2026/03/30,35.0642538683451400,半导体设备与材料,半导体产品
富途证券国际(香港)有限公司,2720.HK,乐欣户外,账簿管理人、包销商、牵头经办人,2026/02/10,102.2857142857142900,玩具及消闲用品,休闲用品
富途证券国际(香港)有限公司,2706.HK,海致科技集团,账簿管理人、包销商、牵头经办人,2026/02/13,242.2025129342202500,数码解决方案服务,信息科技咨询与其它服务
富途证券国际(香港)有限公司,2701.HK,国民技术,账簿管理人、包销商、牵头经办人,2026/03/23,4.1666666666666700,半导体,电子元件
富途证券国际(香港)有限公司,2695.HK,印象大红袍,牵头经办人、包销商、账簿管理人,2025/12/22,-35.27777777777777777800,消闲及文娱设施,酒店、度假村与豪华游轮
富途证券国际(香港)有限公司,2692.HK,兆威机电,账簿管理人、包销商、牵头经办人,2026/03/09,2.4130190796857500,工业零件及器材,汽车零件与设备
富途证券国际(香港)有限公司,2685.HK,量化派,账簿管理人、包销商,2025/11/27,88.7755102040816300,线上零售商,互动媒体与服务
富途证券国际(香港)有限公司,2665.HK,图达通,账簿管理人、牵头经办人,2025/12/10,33.0000000000000000,数码解决方案服务,信息科技咨询与其它服务
富途证券国际(香港)有限公司,2661.HK,轻松健康,全球协调人、包销商、牵头经办人、账簿管理人,2025/12/23,158.8183421516754900,广告及宣传,保险经纪商
富途证券国际(香港)有限公司,2659.HK,宝济药业-B,牵头经办人、包销商,2025/12/10,138.8172858225928700,药品,制药
富途证券国际(香港)有限公司,2655.HK,果下科技,包销商、牵头经办人、账簿管理人,2025/12/16,117.9104477611940300,能源储存装置,重型电气设备
富途证券国际(香港)有限公司,2649.HK,优乐赛共享,包销商、牵头经办人、账簿管理人,2026/03/09,-43.63636363636363636400,印刷及包装,汽车零件与设备
富途证券国际(香港)有限公司,2632.HK,泽景股份,牵头经办人、账簿管理人、承销商,2026/03/24,-36.92307692307692307700,汽车零件,电子设备和仪器
富途证券国际(香港)有限公司,2581.HK,明基医院,包销商、牵头经办人、账簿管理人,2025/12/22,-49.46466809421841541800,医疗及医学美容服务,保健护理服务
富途证券国际(香港)有限公司,2526.HK,德适-B,包销商、牵头经办人、全球协调人、整体协调人、账簿管理人,2026/03/30,111.7171717171717200,医疗设备及用品,医疗保健设备
富途证券国际(香港)有限公司,2513.HK,智谱,账簿管理人、牵头经办人、包销商,2026/01/08,13.1669535283993100,数码解决方案服务,应用软件
富途证券国际(香港)有限公司,2408.HK,遇见小面,包销商、牵头经办人、账簿管理人、整体协调人、全球协调人,2025/12/05,-27.84090909090909090900,餐饮,餐馆
富途证券国际(香港)有限公司,2396.HK,华芢生物-B,包销商、账簿管理人、牵头经办人,2025/12/22,-29.31937172774869109900,生物技术,制药
富途证券国际(香港)有限公司,1879.HK,曦智科技-P,账簿管理人、包销商,2026/04/28,383.6244541484716200,半导体设备与材料,半导体产品
富途证券国际(香港)有限公司,1768.HK,鸣鸣很忙,包销商、牵头经办人、账簿管理人,2026/01/28,69.0617075232459800,包装食品,食品零售
富途证券国际(香港)有限公司,1609.HK,天星医疗,全球协调人、账簿管理人、牵头经办人、包销商,2026/05/05,118.2741116751269000,医疗设备及用品,医疗保健设备
富途证券国际(香港)有限公司,1236.HK,乐动机器人,包销商、牵头经办人、账簿管理人,2026/05/11,127.6176024279210900,数码解决方案服务,工业机械和用品及零部件
富途证券国际(香港)有限公司,1187.HK,可孚医疗,包销商、全球协调人、账簿管理人、整体协调人、牵头经办人,2026/05/06,-1.09331299262649377100,医疗设备及用品,医疗保健设备
富途证券国际(香港)有限公司,1021.HK,华沿机器人,包销商、账簿管理人、牵头经办人,2026/03/30,8.2352941176470600,工业零件及器材,电子制造服务
富途证券国际(香港)有限公司,0100.HK,MINIMAX-W,账簿管理人、承销商、牵头经办人,2026/01/09,109.0909090909090900,数码解决方案服务,互联网服务和基础设施
