code,name,listing_date,total_applicants,valid_applicants,subscribed_shares,public_subscription_multiple_ballot,one_lot_success_rate_pct,industry_level_1,industry_level_2,source_table
1236.HK,乐动机器人,2026-05-08,296740,259886,17226.3433,6707.66,0.8,资讯科技业,工业,IPO打新中签结果
1187.HK,可孚医疗,2026-05-05,105939,104431,15083.0065,399.08,5.0,医疗保健业,医疗保健,IPO打新中签结果
1609.HK,天星医疗,2026-05-04,300735,264904,19151.3736,7823.13,1.5,医疗保健业,医疗保健,IPO打新中签结果
6810.HK,商米科技-W,2026-04-28,204939,193590,33070.7594,2003.16,5.0,资讯科技业,信息技术,IPO打新中签结果
1879.HK,曦智科技-P,2026-04-27,378085,335445,134273.7335,5784.7,6.0,资讯科技业,信息技术,IPO打新中签结果
2493.HK,迈威生物-B,2026-04-27,126378,122556,14796.6271,481.71,1.0,医疗保健业,医疗保健,IPO打新中签结果
3296.HK,华勤技术,2026-04-22,140150,126765,42575.8096,531.33,12.0,资讯科技业,信息技术,IPO打新中签结果
2476.HK,胜宏科技,2026-04-20,250606,219446,57310.4833,431.15,0.71,工业,信息技术,IPO打新中签结果
0068.HK,群核科技,2026-04-16,240700,227540,28321.7393,1590.56,3.0,资讯科技业,信息技术,IPO打新中签结果
3277.HK,长光辰芯,2026-04-16,266501,253633,45814.9032,1138.21,1.0,工业,信息技术,IPO打新中签结果
6656.HK,思格新能,2026-04-15,202730,179452,13474.7027,1102.05,2.0,工业,工业,IPO打新中签结果
0664.HK,铜师傅,2026-03-30,26280,26134,3003.3542,59.55,2.78,非必需性消费,非日常生活消费品,IPO打新中签结果
3625.HK,傅里叶,2026-03-30,118537,111790,18467.533,3118.43,5.0,资讯科技业,信息技术,IPO打新中签结果
1021.HK,华沿机器人,2026-03-27,227070,201193,66210.3148,5059.38,5.0,工业,信息技术,IPO打新中签结果
2526.HK,德适-B,2026-03-27,115017,108097,14123.3857,1073.37,3.0,医疗保健业,医疗保健,IPO打新中签结果
2726.HK,瀚天天成,2026-03-27,45084,44757,13258.4119,50.66,20.0,资讯科技业,信息技术,IPO打新中签结果
3355.HK,飞速创新,2026-03-27,11492,0,11492.0,1579.71,1.0,资讯科技业,信息技术,IPO打新中签结果
6636.HK,极视角,2026-03-27,159089,150118,33740.033,4591.37,10.0,资讯科技业,信息技术,IPO打新中签结果
2632.HK,泽景股份,2026-03-23,31183,31027,14839.6268,68.89,30.0,非必需性消费,信息技术,IPO打新中签结果
2729.HK,凯乐士科技,2026-03-23,107253,97501,17657.9173,2153.26,5.0,资讯科技业,信息技术,IPO打新中签结果
2701.HK,国民技术,2026-03-20,56547,55591,24386.0535,131.83,30.0,资讯科技业,信息技术,IPO打新中签结果
3355.HK,飞速创新,2026-03-20,185264,185264,19732.9989,1579.71,1.0,资讯科技业,信息技术,IPO打新中签结果
1989.HK,广合科技,2026-03-19,202417,180250,39605.0147,1070.72,5.0,工业,信息技术,IPO打新中签结果
3268.HK,美格智能,2026-03-09,57965,57033,15507.6295,174.12,5.0,资讯科技业,信息技术,IPO打新中签结果
2649.HK,优乐赛共享,2026-03-06,162571,150874,3769.7822,5297.23,0.04,工业,非日常生活消费品,IPO打新中签结果
2692.HK,兆威机电,2026-03-06,180292,160689,24154.2606,1536.76,4.0,工业,非日常生活消费品,IPO打新中签结果
2715.HK,埃斯顿,2026-03-06,27190,27052,6800.1203,19.67,4.99,工业,工业,IPO打新中签结果
2706.HK,海致科技集团,2026-02-12,232258,205872,12976.2888,5065.06,0.06,资讯科技业,信息技术,IPO打新中签结果
9981.HK,沃尔核材,2026-02-12,141463,132491,31549.8691,569.58,0.33,工业,信息技术,IPO打新中签结果
0470.HK,先导智能,2026-02-10,57322,55943,28578.557,79.54,18.0,工业,工业,IPO打新中签结果
0600.HK,爱芯元智,2026-02-09,85091,83513,40332.0985,104.82,18.0,资讯科技业,信息技术,IPO打新中签结果
2720.HK,乐欣户外,2026-02-09,111036,101646,5919.2673,3654.23,1.0,非必需性消费,非日常生活消费品,IPO打新中签结果
6809.HK,澜起科技,2026-02-06,260646,232844,56750.4215,707.3,5.0,资讯科技业,信息技术,IPO打新中签结果
2677.HK,卓正医疗,2026-02-05,147844,140545,9117.0663,2730.73,1.0,医疗保健业,医疗保健,IPO打新中签结果
2714.HK,牧原股份,2026-02-05,21268,21187,21268.0,5.88,100.0,必需性消费,日常消费品,IPO打新中签结果
3200.HK,大族数控,2026-02-05,159985,146253,39014.0992,446.39,10.0,工业,信息技术,IPO打新中签结果
2768.HK,国恩科技,2026-02-03,171047,154503,14476.7979,2251.85,2.0,原材料业,原材料,IPO打新中签结果
9980.HK,东鹏饮料,2026-02-02,66692,64575,20112.7746,57.46,15.0,必需性消费,日常消费品,IPO打新中签结果
1768.HK,鸣鸣很忙,2026-01-27,229245,202454,14552.2822,1899.49,3.0,必需性消费,日常消费品,IPO打新中签结果
9611.HK,龙旗科技,2026-01-21,145096,134255,29558.944,1149.76,0.2,资讯科技业,信息技术,IPO打新中签结果
1641.HK,红星冷链,2026-01-12,103102,98005,4664.1228,2309.25,1.0,地产建筑业,工业,IPO打新中签结果
3986.HK,兆易创新,2026-01-12,148419,135727,25841.5078,542.22,2.0,资讯科技业,信息技术,IPO打新中签结果
8610.HK,BBSB INTL,2026-01-12,145089,138549,3390.6125,10745.13,0.05,地产建筑业,工业,IPO打新中签结果
0501.HK,豪威集团,2026-01-09,14551,14423,14551.0,9.28,100.0,资讯科技业,信息技术,IPO打新中签结果
0100.HK,MINIMAX-W,2026-01-08,417646,397689,104902.3694,1837.17,2.81,资讯科技业,信息技术,IPO打新中签结果
3636.HK,金浔资源,2026-01-08,64456,63574,64456.0,143.46,7.0,原材料业,原材料,IPO打新中签结果
6938.HK,瑞博生物-B,2026-01-08,42771,41829,5365.497,101.06,1.71,医疗保健业,医疗保健,IPO打新中签结果
2513.HK,智谱,2026-01-07,204871,190045,50940.0983,1159.46,5.0,资讯科技业,信息技术,IPO打新中签结果
2675.HK,精锋医疗-B,2026-01-07,196179,189777,19930.1026,1091.94,0.5,医疗保健业,医疗保健,IPO打新中签结果
9903.HK,天数智芯,2026-01-07,180802,171067,22460.3999,414.24,7.0,资讯科技业,信息技术,IPO打新中签结果
6082.HK,壁仞科技,2025-12-31,471116,441861,135523.7043,2347.53,5.0,资讯科技业,信息技术,IPO打新中签结果
2657.HK,林清轩,2025-12-29,169712,159642,24096.8194,1235.81,2.0,医疗保健业,日常消费品,IPO打新中签结果
2671.HK,美联股份,2025-12-29,53657,53443,3029.0513,146.25,0.75,地产建筑业,工业,IPO打新中签结果
3317.HK,迅策,2025-12-29,9730,9696,3189.7676,7.24,12.78,资讯科技业,信息技术,IPO打新中签结果
3696.HK,英矽智能,2025-12-29,221926,206081,18145.2571,1427.37,1.0,医疗保健业,医疗保健,IPO打新中签结果
6600.HK,卧安机器人,2025-12-29,89935,87022,13733.7442,254.5,7.0,非必需性消费,非日常生活消费品,IPO打新中签结果
6651.HK,五一视界,2025-12-29,44502,43820,10513.6006,256.01,10.0,资讯科技业,信息技术,IPO打新中签结果
2635.HK,诺比侃,2025-12-22,33051,32605,3849.4256,188.74,3.0,资讯科技业,信息技术,IPO打新中签结果
2661.HK,轻松健康,2025-12-22,111894,106191,12359.7326,1421.47,6.0,非必需性消费,金融,IPO打新中签结果
3378.HK,翰思艾泰-B,2025-12-22,139704,128426,17580.3286,3074.09,1.0,医疗保健业,医疗保健,IPO打新中签结果
2396.HK,华芢生物-B,2025-12-19,146647,141939,7931.2224,791.95,2.5,医疗保健业,医疗保健,IPO打新中签结果
2581.HK,明基医院,2025-12-19,9291,9275,5353.2334,6.28,50.01,医疗保健业,医疗保健,IPO打新中签结果
2691.HK,南华期货股份,2025-12-19,7479,7474,6042.8632,1.91,74.64,金融业,金融,IPO打新中签结果
2695.HK,印象大红袍,2025-12-19,114610,109770,3418.1577,3397.48,0.8,非必需性消费,非日常生活消费品,IPO打新中签结果
2546.HK,智汇矿业,2025-12-18,177542,160873,12569.436,5248.15,1.0,原材料业,原材料,IPO打新中签结果
3881.HK,希迪智驾,2025-12-18,17353,17277,12473.012,22.55,50.0,工业,信息技术,IPO打新中签结果
3887.HK,HASHKEY HLDGS,2025-12-16,88592,84984,29796.0625,393.71,10.0,金融业,金融,IPO打新中签结果
2655.HK,果下科技,2025-12-15,161076,151327,161076.0,1890.73,10.0,工业,工业,IPO打新中签结果
