institution,code,name,listing_date,issue_price_or_score,industry_level_1,industry_level_2,source_table
农银国际融资有限公司,9973.HK,奇瑞汽车,2025-09-25,3.8048780487804894,汽车,汽车零件与设备,账簿管理人
农银国际融资有限公司,9881.HK,容大科技,2025-06-10,42.0,电脑及周边器材,电脑硬件、储存设备及电脑周边,账簿管理人
农银国际融资有限公司,9879.HK,米高集团,2024-03-21,0.2450980392156862,化肥及农用化合物,化肥与农用药剂,账簿管理人
农银国际融资有限公司,9680.HK,如祺出行,2024-07-10,-3.142857142857143,公共运输,信息科技咨询与其它服务,账簿管理人
农银国际融资有限公司,9678.HK,云知声,2025-06-30,44.585365853658544,数码解决方案服务,信息科技咨询与其它服务,账簿管理人
农银国际融资有限公司,9611.HK,龙旗科技,2026-01-22,3.54838709677419,消费性电讯设备,电脑硬件、储存设备及电脑周边,账簿管理人
农银国际融资有限公司,9606.HK,映恩生物-B,2025-04-15,116.70190274841438,生物技术,制药,账簿管理人
农银国际融资有限公司,7618.HK,京东工业,2025-12-11,0.0,采购及供应链管理,贸易公司与经销商,账簿管理人
农银国际融资有限公司,6980.HK,八马茶业,2025-10-28,86.7,非酒精饮料,软饮料与不含酒精饮料,账簿管理人
农银国际融资有限公司,6960.HK,双登股份,2025-08-26,31.28876636802205,能源储存装置,电子元件,账簿管理人
农银国际融资有限公司,6938.HK,瑞博生物-B,2026-01-09,41.62497843712265,生物技术,制药,账簿管理人
农银国际融资有限公司,6936.HK,顺丰控股,2024-11-27,0.0,航空货运及物流,航空货运与物流,账簿管理人
农银国际融资有限公司,6831.HK,绿茶集团,2025-05-16,-12.517385257301807,餐饮,餐馆,账簿管理人
农银国际融资有限公司,6810.HK,商米科技-W,2026-04-29,241.1102172164119,电脑及周边器材,电子设备和仪器,账簿管理人
农银国际融资有限公司,6693.HK,赤峰黄金,2025-03-10,0.0,黄金及贵金属,多种金属与采矿,账簿管理人
农银国际融资有限公司,6681.HK,脑动极光-B,2025-01-08,3.4161490683229814,医疗及医学美容服务,保健护理服务,账簿管理人
农银国际融资有限公司,6651.HK,五一视界,2025-12-30,29.9016393442623,数码解决方案服务,应用软件,账簿管理人
农银国际融资有限公司,6636.HK,极视角,2026-03-30,150.0,数码解决方案服务,信息科技咨询与其它服务,账簿管理人
