code,name,listing_date,prospectus_date,offer_start_date,offer_end_date,pricing_date,allotment_date,board,offering_type,is_latest,offer_price_low,offer_price_high,issue_price,board_lot,market_cap_hkdm,offer_shares,public_offer_shares,placing_shares,gross_proceeds_hkd,net_proceeds_hkd,proceeds_currency,use_of_proceeds,public_subscription_multiple,international_subscription_multiple,valuation_metric,source_table,public_subscription_multiple_ballot,one_lot_success_rate_pct,industry_level_1,industry_level_2,total_applicants,name_cs,cornerstone_count,cornerstone_amount_hkd,cornerstone_top_names,cornerstone_quality_score,lockup_end_date,record_date,margin_amount_hkd,margin_multiple,margin_over_text,underwriter_count,top_underwriters,bookrunner_count,top_bookrunners,lifecycle_stage,pre_listing_score,decision_tier,model_recommendation,risk_tags
6871.HK,翼菲科技,2026-05-18,2026-05-08,2026-05-08,2026-05-13,2026-05-08,2026-05-15,主板,"发售以供认购,发售以供配售",是,,,30.5,100,3080.75,24600000,1230000,23370000,,,HKD,所得款项净额的约40.0%将于2026年至2030年用于公司机器人技术的开发;所得款项净额的约28.0%将用于2026年至2030年的生产基地及生产线建设或优化;所得款项净额的约12.0%将用于2026年至2030年发展海外业务网络;所得款项净额的约10.0%将用于2026年至2030年供应链上下游的投资;所得款项净额的约10.0%将用于2026年至2030年补充营运资金。,,,,首发信息一览,,,,,,,,,,,,2026-05-11,21808450000,713.5534,超购于548.8872倍,,,,,招股/待上市,52.1,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤
7630.HK,英派药业-B,2026-05-13,2026-05-05,2026-05-05,2026-05-08,2026-05-11,2026-05-12,主板,"发售以供认购,发售以供配售",是,19.75,21.75,,200,4393.88,41977000,4197800,37779200,,,HKD,约51%将用于为公司核心产品塞纳帕利正在进行及计划中的临床开发、监管批准以及商业化提供资金。约31%将用于为公司的关键产品IMP1734及IMP9064正在进行的临床开发提供资金。约8%将用于为公司其他管线资产、IMP1707、IMP7068、IMP22、IMP25、IMP08、IMP13及IMP10的研发活动提供资金。约8%将用于为公司研发平台的开发及扩大公司的药物管线提供资金。约2%将用于营运资金及其他一般公司用途。,,,,首发信息一览,,,,,,英派药业-B,11.0,279972864.0,First Quarter Moon OFC — Phecda Fund；黄河投资有限公司；南京生物医药谷建设发展有限公司及华泰资本投资有限公司；Worldwide Healthcare Partners LLC；Prosper High Holding Limited,50.0,2026-11-13,2026-05-08,126731530000,1789.2885,超购于1387.0454倍,,,,,招股/待上市,61.0,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤；基石阵容较多
7666.HK,剂泰科技-P,2026-05-13,2026-05-05,2026-05-05,2026-05-08,2026-05-05,2026-05-12,主板,"发售以供认购,发售以供配售",是,10.5,10.5,,500,5302.95,201229000,10061500,191167500,,,HKD,"约所得款项净额的约50.0%将用于支撑公司的人工智能基础设施及人工智能驱动纳米材料平台的核心技术研究、开发及推进;约所得款项净额的约20.0%将用于公司人工智能开发产品管线中正在进行及计划开展的临床试验,推动候选药物在多个治疗领域及治疗模式中的进展;约所得款项净额的约10.0%将用于开发公司的动物健康及抗衰解决方案,并将人工智能赋能的解决方案拓展至该等高增长领域;约所得款项净额的约10.0%将分配用于支持公司在全球构建人工智能驱动纳米材料生态系统的增长战略,原因是公司认为海外市场为公司的人工智能驱动纳米材料平台提供更大潜力;约所得款项净额的约10.0%将用作营运资金及其他一般企业用途。",,,,首发信息一览,,,,,,剂泰科技-P,18.0,1159432000.0,"BlackRock, Inc.；UBS Asset Management (Singapore) Ltd.；国风投创新投资基金股份有限公司；未来资产证券(香港)有限公司及Mirae Asset Securities Co., Ltd.；HHLR Advisors, Ltd.",60.0,2026-11-13,2026-05-08,544075360000,6642.2069,超购于5148.9976倍,,,,,招股/待上市,63.7,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；基石阵容较多
1236.HK,乐动机器人,2026-05-11,2026-05-08,2026-04-30,2026-05-06,2026-05-07,2026-05-08,主板,"发售以供认购,发售以供配售",是,24.0,30.0,26.36,200,6060.51,33333400,3333400,30000000,878668424.0,806800000.0,HKD,"所得款项净额约45.0%将用于加强智能机器人视觉感知技术的研发,以实现人工智能功能算法结构的升级,优化公司的智能机器人视觉感知产品及智能机器人产品;所得款项净额约10.0%将分配用于品牌建设与国际拓展,以扩大海外客户群;所得款项净额约30.0%将分配用于优化生产能力及产能扩充,支持大规模出货量;所得款项净额约5.0%将分配用于探索潜在投资及收购机会,以增强公司的技术能力,实现海外规模化扩张;所得款项净额约10.0%将用作营运资金及一般公司用途。",6707.66,9.54,31.524974886317,首发信息一览,6707.66,0.8,资讯科技业,工业,296740,乐动机器人,1.0,277000000.0,康成亨远景投资有限公司,50.0,2026-11-11,2026-05-06,539925890000,6963.6146,超购于5398.1509倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,75.0,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
1187.HK,可孚医疗,2026-05-06,2026-05-05,2026-04-27,2026-04-30,2026-05-04,2026-05-05,主板,"发售以供认购,发售以供配售",是,,39.33,39.33,100,3972.67,27000000,2700000,24300000,1061910000.0,1007100000.0,HKD,"30.0%将用于全球拓展,30.0%将用于公司持续的产品研发及技术创新,包括公司的人工智能及物联网应用,20.0%将用于拓展公司的国内销售渠道及经销网络,10.0%将用于品牌推广及营销活动,10.0%将用于营运资金及一般公司用途。",399.08,3.4,35.763788833329,首发信息一览,399.08,5.0,医疗保健业,医疗保健,105939,可孚医疗,12.0,379779250.0,蓝思科技(香港)有限公司；长沙雨丰科技有限公司；远信(珠海)私募基金管理有限公司及中国银河国际投资有限公司；黄雪林；盘京港景投资基金,55.0,2026-11-06,2026-04-30,32746720000,411.8833,超购于307.3756倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,59.5,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
1609.HK,天星医疗,2026-05-05,2026-05-04,2026-04-24,2026-04-29,2026-04-24,2026-05-04,主板,"发售以供认购,发售以供配售",是,98.5,98.5,98.5,50,4974.67,8421850,842200,7579650,829552225.0,758400000.0,HKD,"约30.0%将用于扩大公司的生产能力并提升生产效率,以便公司能够满足快速增长的市场需求。约35.0%将用于支持公司以患者为导向的产品策略的研发工作。约25.0%将用于商业化、销售及市场推广活动,以巩固公司在中国的领先地位并建立全球市场存在及品牌形象。约10.0%将用于营运资金及一般企业用途。",7823.13,10.41,34.706151261302,首发信息一览,7823.13,1.5,医疗保健业,医疗保健,300735,天星医疗,4.0,287905650.0,JSC International Investment Fund SPC – Shenghai SP；奥博亚洲四期(香港)有限公司；Mega Prime Development Limited；Poly Platinum Enterprises Limited,50.0,2026-11-05,2026-04-29,530508570000,8248.2673,超购于6394.0057倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,77.7,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
6810.HK,商米科技-W,2026-04-29,2026-04-28,2026-04-21,2026-04-24,2026-04-21,2026-04-28,主板,"发售以供认购,发售以供配售",是,24.86,24.86,24.86,100,2511.07,42626800,4262700,38364100,1059702248.0,922000000.0,HKD,约40.0%用于为BIoT软硬件解决方案的研发提供资金;约30.0%用于拨付加强供应链及生产运营;约20.0%用于拨付实施全球市场扩张计划;约10.0%将用于营运资金及其他一般公司用途。,2003.16,7.91,27.027128473167,首发信息一览,2003.16,5.0,资讯科技业,信息技术,204939,商米科技-W,2.0,286407088.0,"XINWUTANG CO., LIMITED；China Orient Enhanced Income Fund",50.0,2027-03-29,2026-04-24,127744410000,1553.7648,超购于1204.4689倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,76.2,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低
2493.HK,迈威生物-B,2026-04-28,2026-04-27,2026-04-20,2026-04-23,2026-04-24,2026-04-27,主板,"发售以供认购,发售以供配售",是,27.64,30.71,27.64,200,6203.95,47130200,4713200,42417000,1302678728.0,1189000000.0,HKD,约56.8%将用于核心产品9MW2821针对多种适用症不同阶段的临床开发试验。约17.7%将用于针对具有大量临床需求的肿瘤和年龄相关疾病的其他管线产品的研发。约15.5%将用于商业化目的。约10.0%将用于营运资金及其他一般公司用途。,481.71,3.46,31.871108438028,首发信息一览,481.71,1.0,医疗保健业,医疗保健,126378,迈威生物-B,6.0,415178150.0,"香港君实有限公司；Sanjin International Co., Ltd.；国惠(香港)控股有限公司；昌荣国际有限公司；WuXi Biologics HealthCare Venture",55.0,2026-10-28,2026-04-23,43249850000,399.0596,超购于297.8057倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,58.0,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多
1879.HK,曦智科技-P,2026-04-28,2026-04-27,2026-04-20,2026-04-23,2026-04-24,2026-04-27,主板,"发售以供认购,发售以供配售",是,166.6,183.2,183.2,15,2775.71,13795215,689775,13105440,2527283388.0,2376900000.0,HKD,"约70.0%的所得款项净额将于未来五年用于研发工作,包括持续研发公司的光互连硬件及解决方案,以及光计算产品。约20.0%将用于公司的商业化工作。约10.0%所得款项净额将用于营运资金及一般企业用途。",5784.7,53.83,65.055709534067,首发信息一览,5784.7,6.0,资讯科技业,信息技术,378085,曦智科技-P,20.0,1644142140.0,"Alibaba Investment Limited；GIC Private Limited；Taibai Investments Pte. Ltd.；Baillie Gifford Overseas Limited及Baillie Gifford & Co；BlackRock, Inc.",70.0,2027-04-28,2026-04-23,588019810000,6001.4391,超购于4652.2784倍,,,,,已上市/半新股,94.2,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；基石阵容较多
3296.HK,华勤技术,2026-04-23,2026-04-22,2026-04-15,2026-04-20,2026-04-21,2026-04-22,主板,"发售以供认购,发售以供配售",是,,77.7,77.7,100,7848.36,58548200,5854900,52693300,4549195140.0,4463100000.0,HKD,"约40.0%将用于以产品为核心的研发投入,增强技术实力。约35.0%将用于扩大及优化公司的制造体系。约15.0%将用于战略投资与垂直整合。约10.0%将用于营运资金及一般公司用途。",531.33,13.34,49.95900813347,首发信息一览,531.33,12.0,资讯科技业,信息技术,140150,华勤技术,18.0,2272732770.0,JPMorgan Asset Management (Asia Pacific) Limited；Aurora SF；建滔投资有限公司；泰康人寿保险有限责任公司；Cloud Map Holdings Limited,55.0,2026-10-23,2026-04-20,191721040000,563.3811,超购于420.4337倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,67.7,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；基石阵容较多
