code,name,listing_date,record_date,margin_amount_hkd,public_offer_amount_hkd,margin_multiple,margin_over_text,currency,source_table
6871.HK,翼菲科技,2026-05-18,2026-05-11,21808450000,37520000,713.5534,超购于548.8872倍,HKD,孖展数据
7666.HK,剂泰科技-P,2026-05-13,2026-05-08,544075360000,105650000,6642.2069,超购于5148.9976倍,HKD,孖展数据
7630.HK,英派药业-B,2026-05-13,2026-05-08,126731530000,91300000,1789.2885,超购于1387.0454倍,HKD,孖展数据
1236.HK,乐动机器人,2026-05-11,2026-05-06,539925890000,100000000,6963.6146,超购于5398.1509倍,HKD,孖展数据
1187.HK,可孚医疗,2026-05-06,2026-04-30,32746720000,106190000,411.8833,超购于307.3756倍,HKD,孖展数据
1609.HK,天星医疗,2026-05-05,2026-04-29,530508570000,82960000,8248.2673,超购于6394.0057倍,HKD,孖展数据
6810.HK,商米科技-W,2026-04-29,2026-04-24,127744410000,105970000,1553.7648,超购于1204.4689倍,HKD,孖展数据
2493.HK,迈威生物-B,2026-04-28,2026-04-23,43249850000,144740000,399.0596,超购于297.8057倍,HKD,孖展数据
1879.HK,曦智科技-P,2026-04-28,2026-04-23,588019810000,126370000,6001.4391,超购于4652.2784倍,HKD,孖展数据
3296.HK,华勤技术,2026-04-23,2026-04-20,191721040000,454930000,563.3811,超购于420.4337倍,HKD,孖展数据
2476.HK,胜宏科技,2026-04-21,2026-04-16,530029520000,1749310000,404.6717,超购于301.9938倍,HKD,孖展数据
0068.HK,群核科技,2026-04-17,2026-04-14,131191990000,122390000,1381.456,超购于1070.8961倍,HKD,孖展数据
3277.HK,长光辰芯,2026-04-17,2026-04-14,213781830000,260400000,1065.9817,超购于819.9859倍,HKD,孖展数据
6656.HK,思格新能,2026-04-16,2026-04-13,358612800000,440070000,1058.0714,超购于813.9011倍,HKD,孖展数据
0664.HK,铜师傅,2026-03-31,2026-03-26,2324170000,50370000,58.5952,超购于45.0732倍,HKD,孖展数据
3625.HK,傅里叶,2026-03-31,2026-03-26,52185590000,30000000,2225.0508,超购于1738.3210倍,HKD,孖展数据
1021.HK,华沿机器人,2026-03-30,2026-03-25,281351030000,68670000,5243.0824,超购于4096.1581倍,HKD,孖展数据
6636.HK,极视角,2026-03-30,2026-03-25,83851250000,24960000,4298.7841,超购于3358.4250倍,HKD,孖展数据
2526.HK,德适-B,2026-03-30,2026-03-25,63781570000,89990000,905.8923,超购于707.7284倍,HKD,孖展数据
2726.HK,瀚天天成,2026-03-30,2026-03-25,5122080000,163900000,39.3261,超购于30.2509倍,HKD,孖展数据
2729.HK,凯乐士科技,2026-03-24,2026-03-19,115379180000,75070000,1966.0763,超购于1535.9971倍,HKD,孖展数据
2632.HK,泽景股份,2026-03-24,2026-03-19,2430670000,77890000,39.2698,超购于30.2075倍,HKD,孖展数据
3355.HK,飞速创新,2026-03-23,2026-03-18,203096140000,166400000,1560.998,超购于1219.5296倍,HKD,孖展数据
2701.HK,国民技术,2026-03-23,2026-03-18,6133240000,102600000,76.4116,超购于58.7781倍,HKD,孖展数据
1989.HK,广合科技,2026-03-20,2026-03-17,272484660000,330650000,1053.5588,超购于823.0928倍,HKD,孖展数据
3268.HK,美格智能,2026-03-10,2026-03-05,11663060000,101010000,148.8037,超购于114.4644倍,HKD,孖展数据
2649.HK,优乐赛共享,2026-03-09,2026-03-04,116858320000,28480000,5251.517,超购于4102.7477倍,HKD,孖展数据
2715.HK,埃斯顿,2026-03-09,2026-03-04,2081470000,164530000,16.8944,超购于11.6513倍,HKD,孖展数据
2692.HK,兆威机电,2026-03-09,2026-03-04,233819240000,197090000,1517.2838,超购于1185.3779倍,HKD,孖展数据
2706.HK,海致科技集团,2026-02-13,2026-02-10,319330960000,78490000,5206.3351,超购于4067.4493倍,HKD,孖展数据
9981.HK,沃尔核材,2026-02-13,2026-02-10,126504020000,281240000,583.4506,超购于448.8082倍,HKD,孖展数据
0470.HK,先导智能,2026-02-11,2026-02-06,21833360000,428760000,64.8985,超购于49.9219倍,HKD,孖展数据
2720.HK,乐欣户外,2026-02-10,2026-02-05,93292630000,34550000,3454.8901,超购于2699.1329倍,HKD,孖展数据
0600.HK,爱芯元智,2026-02-10,2026-02-05,21536230000,295860000,93.3285,超购于71.7911倍,HKD,孖展数据
6809.HK,澜起科技,2026-02-09,2026-02-04,370089270000,704300000,671.3246,超购于524.4723倍,HKD,孖展数据
3200.HK,大族数控,2026-02-06,2026-02-03,152306880000,483330000,408.3556,超购于314.1197倍,HKD,孖展数据
2714.HK,牧原股份,2026-02-06,2026-02-03,4864430000,1068410000,5.9689,超购于3.5529倍,HKD,孖展数据
2677.HK,卓正医疗,2026-02-06,2026-02-03,66497040000,31640000,2689.2909,超购于2101.0085倍,HKD,孖展数据
2768.HK,国恩科技,2026-02-04,2026-01-30,233314060000,126000000,2368.8945,超购于1850.6988倍,HKD,孖展数据
9980.HK,东鹏饮料,2026-02-03,2026-01-29,44238810000,1014070000,55.4123,超购于42.6249倍,HKD,孖展数据
1768.HK,鸣鸣很忙,2026-01-28,2026-01-23,509885380000,333650000,1954.802,超购于1527.1891倍,HKD,孖展数据
9611.HK,龙旗科技,2026-01-22,2026-01-19,118607780000,162010000,935.8331,超购于731.1196倍,HKD,孖展数据
8610.HK,BBSB INTL,2026-01-13,2026-01-08,77878400000,8750000,10679.2662,超购于8899.3885倍,HKD,孖展数据
3986.HK,兆易创新,2026-01-13,2026-01-08,193654610000,468440000,478.3885,超购于412.4039倍,HKD,孖展数据
1641.HK,红星冷链,2026-01-13,2026-01-08,52897360000,28520000,2224.2698,超购于1853.5582倍,HKD,孖展数据
0501.HK,豪威集团,2026-01-12,2026-01-07,2462930000,479980000,6.9405,超购于4.1312倍,HKD,孖展数据
0100.HK,MINIMAX-W,2026-01-09,2026-01-06,283148550000,209460000,1620.9304,超购于1350.7753倍,HKD,孖展数据
6938.HK,瑞博生物-B,2026-01-09,2026-01-06,10506500000,159350000,84.4146,超购于64.9343倍,HKD,孖展数据
3636.HK,金浔资源,2026-01-09,2026-01-06,11128790000,110300000,129.8667,超购于99.8974倍,HKD,孖展数据
