code,name,listing_date,issue_price,offer_price_low,offer_price_high,public_subscription_multiple,international_subscription_multiple,one_lot_success_rate_pct,cornerstone_count,cornerstone_amount_hkd,margin_multiple,decision_tier,pre_listing_score
6871.HK,翼菲科技,2026-05-18,30.5,,,,,,,,713.5534,C 等待触发,52.1
7630.HK,英派药业-B,2026-05-13,,19.75,21.75,,,,11.0,279972864.0,1789.2885,C 等待触发,61.0
7666.HK,剂泰科技-P,2026-05-13,,10.5,10.5,,,,18.0,1159432000.0,6642.2069,B 重点观察,63.7
1236.HK,乐动机器人,2026-05-11,26.36,24.0,30.0,6707.66,9.54,0.8,1.0,277000000.0,6963.6146,A 高优先,75.0
1187.HK,可孚医疗,2026-05-06,39.33,,39.33,399.08,3.4,5.0,12.0,379779250.0,411.8833,C 等待触发,59.5
1609.HK,天星医疗,2026-05-05,98.5,98.5,98.5,7823.13,10.41,1.5,4.0,287905650.0,8248.2673,A 高优先,77.7
6810.HK,商米科技-W,2026-04-29,24.86,24.86,24.86,2003.16,7.91,5.0,2.0,286407088.0,1553.7648,A 高优先,76.2
2493.HK,迈威生物-B,2026-04-28,27.64,27.64,30.71,481.71,3.46,1.0,6.0,415178150.0,399.0596,C 等待触发,58.0
1879.HK,曦智科技-P,2026-04-28,183.2,166.6,183.2,5784.7,53.83,6.0,20.0,1644142140.0,6001.4391,A 高优先,94.2
3296.HK,华勤技术,2026-04-23,77.7,,77.7,531.33,13.34,12.0,18.0,2272732770.0,563.3811,B 重点观察,67.7
2476.HK,胜宏科技,2026-04-21,209.88,,209.88,431.15,18.5,0.71,39.0,7812267345.0,404.6717,B 重点观察,66.6
3277.HK,长光辰芯,2026-04-17,39.88,39.88,39.88,1138.21,22.69,1.0,30.0,1301989000.24,1065.9817,A 高优先,80.1
0068.HK,群核科技,2026-04-17,7.62,6.72,7.62,1590.56,14.46,3.0,9.0,454524740.0,1381.456,A 高优先,82.0
6656.HK,思格新能,2026-04-16,324.2,324.2,324.2,1102.05,31.2,2.0,21.0,2192126469.0,1058.0714,A 高优先,82.9
0664.HK,铜师傅,2026-03-31,60.0,60.0,68.0,59.55,1.47,2.78,1.0,30000000.0,58.5952,D 回避/仅跟踪,45.7
3625.HK,傅里叶,2026-03-31,40.0,40.0,50.0,3118.43,2.93,5.0,,,2225.0508,B 重点观察,72.4
1021.HK,华沿机器人,2026-03-30,17.0,17.0,17.0,5059.38,16.65,5.0,9.0,769625760.0,5243.0824,A 高优先,85.1
2726.HK,瀚天天成,2026-03-30,76.26,76.26,76.26,50.66,1.95,20.0,1.0,774797022.3,39.3261,D 回避/仅跟踪,49.5
2526.HK,德适-B,2026-03-30,99.0,95.6,112.5,1073.37,3.45,3.0,,,905.8923,B 重点观察,63.4
6636.HK,极视角,2026-03-30,40.0,40.0,40.0,4591.37,3.41,10.0,2.0,47200000.0,4298.7841,B 重点观察,74.9
2729.HK,凯乐士科技,2026-03-24,16.66,16.4,20.4,2153.26,3.37,5.0,,,1966.0763,B 重点观察,72.6
2632.HK,泽景股份,2026-03-24,44.2,42.0,48.0,68.89,1.34,30.0,2.0,109947500.0,39.2698,D 回避/仅跟踪,49.7
3355.HK,飞速创新,2026-03-23,41.6,35.2,41.6,1579.71,10.92,1.0,11.0,704085902.0,1560.998,A 高优先,79.4
2701.HK,国民技术,2026-03-23,10.8,,10.8,131.83,2.51,30.0,5.0,140000000.0,76.4116,C 等待触发,53.4
