decision_tier_step8,code,name,listing_date,lifecycle_stage,step8_score,primary_score_step8,cornerstone_score_step8,secondary_score_step8,primary_recommendation_step8,cornerstone_recommendation_step8,secondary_recommendation_step8,buy_trigger_step8,sell_trigger_step8,risk_tags_step8
B 交易观察,2505.HK,EDA集团控股,2024-05-28,已上市/半新股,69.7,61.2,59.4,83.4,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,暗盘强势；孖展拥挤；公开认购过热；关注基石锁定期
B 交易观察,9606.HK,映恩生物-B,2025-04-15,已上市/半新股,69.0,59.6,60.6,84.0,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,基石阵容较多；暗盘强势；孖展拥挤；公开认购过热；关注基石锁定期
B 交易观察,2609.HK,佰泽医疗,2025-06-23,已上市/半新股,68.7,57.6,59.3,85.3,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,等待更多结构数据；关注基石锁定期
B 交易观察,2603.HK,吉宏股份,2025-05-27,已上市/半新股,68.5,57.6,59.3,84.7,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,等待更多结构数据；关注基石锁定期
B 交易观察,2726.HK,瀚天天成,2026-03-30,已上市/半新股,68.5,57.8,58.8,82.5,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,暗盘强势；关注基石锁定期
B 交易观察,2587.HK,健康之路,2024-12-30,已上市/半新股,68.3,56.0,58.5,86.4,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,等待更多结构数据；关注基石锁定期
B 交易观察,9678.HK,云知声,2025-06-30,已上市/半新股,67.6,59.1,60.1,81.5,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,暗盘转弱；关注基石锁定期
B 交易观察,2563.HK,华昊中天医药-B,2024-10-31,已上市/半新股,67.1,56.3,57.1,83.9,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,一手中签率低；暗盘强势；中签率极低；关注基石锁定期
B 交易观察,3636.HK,金浔资源,2026-01-09,已上市/半新股,67.0,60.2,58.6,76.9,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,基石阵容较多；暗盘强势；孖展拥挤；公开认购过热；关注基石锁定期
B 交易观察,2550.HK,宜搜科技,2024-06-07,已上市/半新股,66.9,56.0,51.7,82.5,只看二级/等待价格确认,不建议锁定,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,暗盘强势；公开认购过热
B 交易观察,9881.HK,容大科技,2025-06-10,已上市/半新股,66.9,61.2,58.6,76.8,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,基石阵容较多；暗盘强势；孖展拥挤；公开认购过热；关注基石锁定期
B 交易观察,6181.HK,老铺黄金,2024-06-28,已上市/半新股,66.8,56.8,51.7,79.5,只看二级/等待价格确认,不建议锁定,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,孖展拥挤；一手中签率低；暗盘强势；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
B 交易观察,2788.HK,创新实业,2025-11-24,已上市/半新股,66.7,58.2,56.4,79.0,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,基石阵容较多；暗盘强势；孖展拥挤；公开认购过热；关注基石锁定期
B 交易观察,2259.HK,紫金黄金国际,2025-09-30,已上市/半新股,66.4,55.0,53.3,81.5,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,基石阵容较多；暗盘强势；孖展拥挤；公开认购过热；关注基石锁定期
B 交易观察,3986.HK,兆易创新,2026-01-13,已上市/半新股,66.4,58.8,56.6,77.2,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,一手中签率低；基石阵容较多；暗盘强势；孖展拥挤；公开认购过热；中签率极低；关注基石锁定期
B 交易观察,2656.HK,健康160,2025-09-17,已上市/半新股,66.3,57.1,51.9,79.8,只看二级/等待价格确认,不建议锁定,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,孖展拥挤；暗盘强势；孖展极度拥挤；公开认购过热
B 交易观察,6651.HK,五一视界,2025-12-30,已上市/半新股,66.1,56.8,53.4,78.4,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,等待更多结构数据；孖展拥挤；公开认购过热
B 交易观察,1333.HK,博雷顿,2025-05-07,已上市/半新股,66.0,56.0,50.8,79.1,只看二级/等待价格确认,不建议锁定,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,一手中签率低；暗盘强势；孖展拥挤；公开认购过热；中签率极低；关注基石锁定期
