security_key,number,code,name,allotment_result_date,ballot_applications_total_raw,ballot_applications_a_raw,ballot_applications_b_raw,ballot_applications_other_raw,ballot_valid_applications_total_raw,ballot_valid_applications_a_raw,ballot_valid_applications_b_raw,ballot_valid_applications_other_raw,ballot_subscription_total_raw,ballot_subscription_a_raw,ballot_subscription_b_raw,ballot_subscription_other_raw,ballot_success_total_raw,ballot_success_a_raw,ballot_success_b_raw,ballot_success_other_raw,public_subscription_multiple,one_lot_success_rate_pct_input,industry,sub_industry,one_lot_success_rate,issuer_name,source_files
0068.HK,9,0068.HK,群核科技,2026-04-16,240700.0,227540.0,13160.0,0.0,84057.0,7195.0,76862.0,0.0,28321.7393,15971.6993,12350.04,0.0,50.0,29.0,21.0,0.0,1590.56,3.0,资讯科技业,信息技术,0.03,群核科技,港股IPO打新中签结果.csv
0100.HK,45,0100.HK,MINIMAX-W,2026-01-08,417646.0,397689.0,19957.0,0.0,131752.0,5515.0,126237.0,0.0,104902.3694,84945.3694,19957.0,0.0,138.0,33.0,105.0,0.0,1837.17,2.81,资讯科技业,信息技术,0.0281,MINIMAX-W,港股IPO打新中签结果.csv
0300.HK,191,0300.HK,美的集团,2024-09-16,13717.0,13539.0,178.0,0.0,423029.0,4995.0,418034.0,0.0,13717.0,13539.0,178.0,0.0,58391.0,1513.0,56878.0,0.0,5.31,100.0,非必需性消费,非日常生活消费品,1.0,美的集团,港股IPO打新中签结果.csv
0325.HK,161,0325.HK,布鲁可,2025-01-09,126841.0,98721.0,28120.0,0.0,16335.0,1315.0,15020.0,0.0,39336.8348,20100.8888,19235.946,0.0,39.0,26.0,13.0,0.0,5999.96,10.0,非必需性消费,非日常生活消费品,0.1,布鲁可,港股IPO打新中签结果.csv
0470.HK,30,0470.HK,先导智能,2026-02-10,57322.0,55943.0,1379.0,0.0,218803.0,5995.0,212808.0,0.0,28578.557,27199.557,1379.0,0.0,1256.0,73.0,1183.0,0.0,79.54,18.0,工业,工业,0.18,先导智能,港股IPO打新中签结果.csv
0501.HK,44,0501.HK,豪威集团,2026-01-09,14551.0,14423.0,128.0,0.0,81015.0,1615.0,79400.0,0.0,14551.0,14423.0,128.0,0.0,6874.0,76.0,6798.0,0.0,9.28,100.0,资讯科技业,信息技术,1.0,豪威集团,港股IPO打新中签结果.csv
0600.HK,31,0600.HK,爱芯元智,2026-02-09,85091.0,83513.0,1578.0,0.0,162453.0,5995.0,156458.0,0.0,40332.0985,38754.0985,1578.0,0.0,829.0,47.0,782.0,0.0,104.82,18.0,资讯科技业,信息技术,0.18,爱芯元智,港股IPO打新中签结果.csv
0638.HK,92,0638.HK,广和通,2025-10-21,191156.0,184378.0,6778.0,0.0,134385.0,4615.0,129770.0,0.0,30046.7079,23268.7079,6778.0,0.0,194.0,34.0,160.0,0.0,550.99,0.31,工业,信息技术,0.0031,广和通,港股IPO打新中签结果.csv
0664.HK,12,0664.HK,铜师傅,2026-03-30,26280.0,26134.0,146.0,0.0,23318.0,3415.0,19903.0,0.0,3003.3542,2857.3542,146.0,0.0,630.0,80.0,550.0,0.0,59.55,2.78,非必需性消费,非日常生活消费品,0.0278,铜师傅,港股IPO打新中签结果.csv
0699.HK,82,0699.HK,均胜电子,2025-11-05,94653.0,92791.0,1862.0,0.0,57765.0,1855.0,55910.0,0.0,17405.9863,15543.9863,1862.0,0.0,117.0,29.0,88.0,0.0,147.67,16.0,非必需性消费,非日常生活消费品,0.16,均胜电子,港股IPO打新中签结果.csv
0800.HK,83,0800.HK,文远知行-W,2025-11-05,64949.0,64546.0,403.0,0.0,87177.0,6115.0,81062.0,0.0,19612.6033,19209.6033,403.0,0.0,4143.0,400.0,3743.0,0.0,73.44,6.64,资讯科技业,信息技术,0.0664,文远知行-W,港股IPO打新中签结果.csv
