security_key,temp_code,code,name,issuer_name,lifecycle_stage,application_date,a1_date,application_status,application_status_update_date,hearing_date,prospectus_date,offer_start_date,offer_end_date,pricing_date,allotment_result_date,expected_listing_date,listing_date,board,industry,sub_industry,offer_price_low,offer_price_high,issue_price,final_price_position,board_lot,fundraising_amount_hkd,market_cap_at_ipo_hkd,net_proceeds_hkd,issue_pe,public_subscription_multiple,international_subscription_multiple,one_lot_success_rate,clawback_ratio,cornerstone_names,cornerstone_investor_count,cornerstone_amount_hkd,cornerstone_shares,cornerstone_ratio,cornerstone_lockup_months,cornerstone_lockup_end_date,cornerstone_quality_tags,sponsor_names,overall_coordinator_names,bookrunner_names,underwriter_names,proceeds_use,primary_signal,primary_action,data_completeness_score,next_data_action,source_files,ballot_applications_a_raw,ballot_applications_b_raw,ballot_applications_other_raw,ballot_applications_total_raw,ballot_subscription_a_raw,ballot_subscription_b_raw,ballot_subscription_other_raw,ballot_subscription_total_raw,ballot_success_a_raw,ballot_success_b_raw,ballot_success_other_raw,ballot_success_total_raw,ballot_valid_applications_a_raw,ballot_valid_applications_b_raw,ballot_valid_applications_other_raw,ballot_valid_applications_total_raw,cornerstone_shares_from_first_issue,global_offer_shares_ex_oa_or_exercised_raw,global_offer_shares_final_base,global_offer_shares_initial,global_offer_shares_with_oa,gross_proceeds_base_hkd,gross_proceeds_oa_hkd,gross_proceeds_with_oa_hkd,has_public_offer,international_offer_shares_final,international_offer_shares_initial,international_subscription_multiple_first_issue,is_transfer_or_intro_raw,listing_expenses_hkd,market_cap_at_ipo_hkd_mn,number,offer_currency,offer_type,one_lot_success_rate_pct_input,other_offer_shares_final_raw,other_offer_shares_initial_raw,over_allotment_exercised_shares,over_allotment_option_shares,par_value,par_value_currency,placing_or_reserved_shares_final_raw,placing_or_reserved_shares_initial_raw,public_offer_shares_final,public_offer_shares_initial,public_subscription_multiple_first_issue,reserved_f007,reserved_f026,reserved_f037,reserved_f038,reserved_f051,result_or_latest_date_raw,sale_shares_final_raw,sale_shares_initial_raw
6871.HK,,6871.HK,翼菲科技,翼菲科技,已定价待上市,,,,,,2026-05-08 00:00:00,2026-05-08 00:00:00,2026-05-13 00:00:00,2026-05-08 00:00:00,2026-05-15 00:00:00,2026-05-18 00:00:00,2026-05-18 00:00:00,主板,,,,,30.5,,100.0,,3080750000.0,,,,,,,,,0.0,,0.0,,,,,,,,所得款项净额的约40.0%将于2026年至2030年用于公司机器人技术的开发;所得款项净额的约28.0%将用于2026年至2030年的生产基地及生产线建设或优化;所得款项净额的约12.0%将用于2026年至2030年发展海外业务网络;所得款项净额的约10.0%将用于2026年至2030年供应链上下游的投资;所得款项净额的约10.0%将用于2026年至2030年补充营运资金。,待补关键发行结构,中性观察；等待暗盘、首日成交和发行价支撑确认,0.5555555555555556,补IPO打新中签结果,港股IPO首发信息一览.csv,,,,,,,,,,,,,,,,,,0.0,,24600000.0,24600000.0,0.0,0.0000,,是,,23370000.0,,否,,3080.75,1,HKD,"发售以供认购,发售以供配售",,,,,,0.2500000000,CNY,,,,1230000.0,,,,,,,2026/05/08,,
7666.HK,,7666.HK,剂泰科技-P,剂泰科技-P,已定价待上市,,,,,,2026-05-05 00:00:00,2026-05-05 00:00:00,2026-05-08 00:00:00,2026-05-05 00:00:00,2026-05-12 00:00:00,2026-05-13 00:00:00,2026-05-13 00:00:00,主板,生物科技,,10.5,10.5,,,500.0,,5302950000.0,,,,,,,"BlackRock, Inc.；UBS Asset Management (Singapore) Ltd.；国风投创新投资基金股份有限公司；未来资产证券(香港)有限公司及Mirae Asset Securities Co., Ltd.；HHLR Advisors, Ltd.；工银瑞信基金管理有限公司及工银瑞信资产管理(国际)有限公司；Isometry Global Master Fund, L.P.；华夏基金(香港)有限公司；RTW Master Fund, Ltd.、RTW Innovation Master Fund, Ltd.及RTW Biotech Opportunities Ltd.；Huadeng Technology Piovt Ventures Ltd；富国基金管理有限公司；Deerfield Management Company, L.P.；Arc Avenue Asset Management Pte. Ltd.；广发基金管理有限公司及广发国际资产管理有限公司；LBC HK Opportunity Fund Limited、Lake Bleu Prime Healthcare Master Fund Limited及Lake Bleu Innovation Healthcare Master Fund Limited；Sage Partners Master Fund；Lazurite Hime L.P.；工银理财有限责任公司",18,1159432000.0,,0.5483999999999999,6.0,2026-11-13 00:00:00,产业方；长线基金；主权/国资；上市公司关联,,,,,"约所得款项净额的约50.0%将用于支撑公司的人工智能基础设施及人工智能驱动纳米材料平台的核心技术研究、开发及推进;约所得款项净额的约20.0%将用于公司人工智能开发产品管线中正在进行及计划开展的临床试验,推动候选药物在多个治疗领域及治疗模式中的进展;约所得款项净额的约10.0%将用于开发公司的动物健康及抗衰解决方案,并将人工智能赋能的解决方案拓展至该等高增长领域;约所得款项净额的约10.0%将分配用于支持公司在全球构建人工智能驱动纳米材料生态系统的增长战略,原因是公司认为海外市场为公司的人工智能驱动纳米材料平台提供更大潜力;约所得款项净额的约10.0%将用作营运资金及其他一般企业用途。",基石占比高；产业方；长线基金；主权/国资；上市公司关联,等配发结果；暂不定一级仓位,0.7222222222222222,等配发结果；补最终发行价/认购倍数/中签率,港股IPO基石投资者.csv；港股IPO首发信息一览.csv,,,,,,,,,,,,,,,,,,0.0,,201229000.0,231413000.0,,,,是,,191167500.0,,否,,5302.95,3,HKD,"发售以供认购,发售以供配售",,,,,30184000,0.1000000000,HKD,,,,10061500.0,,,,,,,2026/05/05,,
7630.HK,,7630.HK,英派药业-B,英派药业-B,已定价待上市,,,,,,2026-05-05 00:00:00,2026-05-05 00:00:00,2026-05-08 00:00:00,2026-05-11 00:00:00,2026-05-12 00:00:00,2026-05-13 00:00:00,2026-05-13 00:00:00,主板,制药,,19.75,21.75,,,200.0,,4393880000.0,,,,,,,First Quarter Moon OFC — Phecda Fund；黄河投资有限公司；南京生物医药谷建设发展有限公司及华泰资本投资有限公司；Worldwide Healthcare Partners LLC；Prosper High Holding Limited；LAV Star Opportunities；LAV Star Limited；Foresight Global Superior Choice SPC — Vision Fund 1 SP；Foresight Global Superior Choice SPC-Horizon Next SP；Foresight Global Superior Choice SPC-Horizon Fund 1 SP；Foresight Global Superior Choice SPC — Global Superior Choice Fund 1 SP,11,279972864.0,,0.3214,6.0,2026-11-13 00:00:00,产业方；长线基金；上市公司关联,,,,,约51%将用于为公司核心产品塞纳帕利正在进行及计划中的临床开发、监管批准以及商业化提供资金。约31%将用于为公司的关键产品IMP1734及IMP9064正在进行的临床开发提供资金。约8%将用于为公司其他管线资产、IMP1707、IMP7068、IMP22、IMP25、IMP08、IMP13及IMP10的研发活动提供资金。约8%将用于为公司研发平台的开发及扩大公司的药物管线提供资金。约2%将用于营运资金及其他一般公司用途。,基石支持；产业方；长线基金；上市公司关联,等配发结果；暂不定一级仓位,0.7222222222222222,等配发结果；补最终发行价/认购倍数/中签率,港股IPO基石投资者.csv；港股IPO首发信息一览.csv,,,,,,,,,,,,,,,,,,0.0,,41977000.0,48273400.0,,,,是,,37779200.0,,否,,4393.88,2,HKD,"发售以供认购,发售以供配售",,,,,6296400,1.0000000000,CNY,,,,4197800.0,,,,,,,2026/05/05,,
1236.HK,,1236.HK,乐动机器人,乐动机器人,已上市0-180D,,,,,,2026-04-30 00:00:00,2026-04-30 00:00:00,2026-05-06 00:00:00,2026-05-07 00:00:00,2026-05-08 00:00:00,2026-05-11 00:00:00,2026-05-11 00:00:00,主板,工业机械和用品及零部件；资讯科技业,工业,24.0,30.0,26.36,0.39333333333333326,200.0,,6060510000.0,806800000.0,31.524974886317,6707.66,9.54,0.008,,康成亨远景投资有限公司,1,277000000.0,,0.3152,6.0,2026-11-11 00:00:00,,,,,,"所得款项净额约45.0%将用于加强智能机器人视觉感知技术的研发,以实现人工智能功能算法结构的升级,优化公司的智能机器人视觉感知产品及智能机器人产品;所得款项净额约10.0%将分配用于品牌建设与国际拓展,以扩大海外客户群;所得款项净额约30.0%将分配用于优化生产能力及产能扩充,支持大规模出货量;所得款项净额约5.0%将分配用于探索潜在投资及收购机会,以增强公司的技术能力,实现海外规模化扩张;所得款项净额约10.0%将用作营运资金及一般公司用途。",散户极热/易拥挤；一手中签极低；基石支持,可小额/选择性参与；二级等首日浮筹释放,0.9444444444444444,补上市后0-180D行情、暗盘与卖点监控,港股IPO基石投资者.csv；港股IPO打新中签结果.csv；港股IPO首发信息一览.csv,259886.0,36854.0,0.0,296740.0,8099.7633,9126.58,0.0,17226.3433,27.0,12.0,0.0,39.0,3015.0,48333.0,0.0,51348.0,10508200,33333400.0,33333400.0,33333400.0,38333400.0,878668424.0,0.0000,878668424.0,是,30000000.0,30000000.0,9.54,否,71868424.0,6060.51,1,HKD,"发售以供认购,发售以供配售",0.8,,,,5000000,0.1000000000,CNY,,,3333400.0,3333400.0,6707.66,,,,,,2026/05/08,,
1187.HK,,1187.HK,可孚医疗,可孚医疗,已上市0-180D,,,,,,2026-04-27 00:00:00,2026-04-27 00:00:00,2026-04-30 00:00:00,2026-05-04 00:00:00,2026-05-05 00:00:00,2026-05-06 00:00:00,2026-05-06 00:00:00,主板,医疗保健设备；医疗保健业,医疗保健,,39.33,39.33,,100.0,,3972670000.0,1007100000.0,35.763788833329,399.08,3.4,0.05,,"蓝思科技(香港)有限公司；长沙雨丰科技有限公司；远信(珠海)私募基金管理有限公司及中国银河国际投资有限公司；黄雪林；盘京港景投资基金；FR M CONSULTING CO., LTD；香港汉清达实业有限公司；戴钧安；大成国际资产管理有限公司；陆勤超；中康科技控股有限公司；ODI TRUST LIMITED",12,379779250.0,,0.3574,6.0,2026-11-06 00:00:00,产业方；长线基金；主权/国资；上市公司关联,,,,,"30.0%将用于全球拓展,30.0%将用于公司持续的产品研发及技术创新,包括公司的人工智能及物联网应用,20.0%将用于拓展公司的国内销售渠道及经销网络,10.0%将用于品牌推广及营销活动,10.0%将用于营运资金及一般公司用途。",公开认购强；一手中签偏低；基石支持；产业方；长线基金；主权/国资；上市公司关联,一级可重点参与；若首日高开过多，二级等回踩确认,0.8888888888888888,补上市后0-180D行情、暗盘与卖点监控,港股IPO基石投资者.csv；港股IPO打新中签结果.csv；港股IPO首发信息一览.csv,104431.0,1508.0,0.0,105939.0,13575.0065,1508.0,0.0,15083.0065,32.0,120.0,0.0,152.0,6115.0,67500.0,0.0,73615.0,9654300,27000000.0,27000000.0,27000000.0,27000000.0,1061910000.0,0.0000,1061910000.0,是,24300000.0,24300000.0,3.4,否,54810000.0,3972.67,2,HKD,"发售以供认购,发售以供配售",5.0,,,,,1.0000000000,CNY,,,2700000.0,2700000.0,399.08,,,,,,2026/05/05,,
1609.HK,,1609.HK,天星医疗,天星医疗,已上市0-180D,,,,,,2026-04-24 00:00:00,2026-04-24 00:00:00,2026-04-29 00:00:00,2026-04-24 00:00:00,2026-05-04 00:00:00,2026-05-05 00:00:00,2026-05-05 00:00:00,主板,医疗保健设备；医疗保健业,医疗保健,98.5,98.5,98.5,,50.0,,4974670000.0,758400000.0,34.706151261302,7823.13,10.41,0.015,,JSC International Investment Fund SPC – Shenghai SP；奥博亚洲四期(香港)有限公司；Mega Prime Development Limited；Poly Platinum Enterprises Limited,4,287905650.0,,0.34700000000000003,6.0,2026-11-05 00:00:00,长线基金；主权/国资,,,,,"约30.0%将用于扩大公司的生产能力并提升生产效率,以便公司能够满足快速增长的市场需求。约35.0%将用于支持公司以患者为导向的产品策略的研发工作。约25.0%将用于商业化、销售及市场推广活动,以巩固公司在中国的领先地位并建立全球市场存在及品牌形象。约10.0%将用于营运资金及一般企业用途。",散户极热/易拥挤；一手中签极低；基石支持；长线基金；主权/国资,可小额/选择性参与；二级等首日浮筹释放,0.9444444444444444,补上市后0-180D行情、暗盘与卖点监控,港股IPO基石投资者.csv；港股IPO打新中签结果.csv；港股IPO首发信息一览.csv,264904.0,35831.0,0.0,300735.0,8859.6146,10291.759,0.0,19151.3736,32.0,11.0,0.0,43.0,6055.0,41422.0,0.0,47477.0,2922900,8421850.0,8421850.0,8421850.0,8421850.0,829552225.0,0.0000,829552225.0,是,7579650.0,7579650.0,10.41,否,71152225.0,4974.67,3,HKD,"发售以供认购,发售以供配售",1.5,,,,,1.0000000000,CNY,,,842200.0,842200.0,7823.13,,,,,,2026/05/04,,
6810.HK,,6810.HK,商米科技-W,商米科技-W,已上市0-180D,,,,,,2026-04-21 00:00:00,2026-04-21 00:00:00,2026-04-24 00:00:00,2026-04-21 00:00:00,2026-04-28 00:00:00,2026-04-29 00:00:00,2026-04-29 00:00:00,主板,电子设备和仪器；资讯科技业,信息技术,24.86,24.86,24.86,,100.0,,2511070000.0,922000000.0,27.027128473167,2003.16,7.91,0.05,,"XINWUTANG CO., LIMITED；China Orient Enhanced Income Fund",2,286407088.0,,0.2703,6.0,2026-10-29 00:00:00,长线基金,,,,,约40.0%用于为BIoT软硬件解决方案的研发提供资金;约30.0%用于拨付加强供应链及生产运营;约20.0%用于拨付实施全球市场扩张计划;约10.0%将用于营运资金及其他一般公司用途。,散户极热/易拥挤；一手中签偏低；基石支持；长线基金,可小额/选择性参与；二级等首日浮筹释放,0.9444444444444444,补上市后0-180D行情、暗盘与卖点监控,港股IPO基石投资者.csv；港股IPO打新中签结果.csv；港股IPO首发信息一览.csv,193590.0,11349.0,0.0,204939.0,21721.7594,11349.0,0.0,33070.7594,30.0,25.0,0.0,55.0,6615.0,98813.0,0.0,105428.0,11520800,42626800.0,42626800.0,42626800.0,42626800.0,1059702248.0,0.0000,1059702248.0,是,38364100.0,38364100.0,7.91,否,137702248.0,2511.07,4,HKD,"发售以供认购,发售以供配售",5.0,,,,,1.0000000000,CNY,,,4262700.0,4262700.0,2003.16,,,,,,2026/04/28,,
2493.HK,,2493.HK,迈威生物-B,迈威生物-B,已上市0-180D,,,,,,2026-04-20 00:00:00,2026-04-20 00:00:00,2026-04-23 00:00:00,2026-04-24 00:00:00,2026-04-27 00:00:00,2026-04-28 00:00:00,2026-04-28 00:00:00,主板,制药；医疗保健业,医疗保健,27.64,30.71,27.64,0.0,200.0,,6203950000.0,1189000000.0,31.871108438028,481.71,3.46,0.01,,"香港君实有限公司；Sanjin International Co., Ltd.；国惠(香港)控股有限公司；昌荣国际有限公司；WuXi Biologics HealthCare Venture；锦绣中和(北京)资本管理有限公司",6,415178150.0,,0.3187,6.0,2026-10-28 00:00:00,产业方；长线基金；主权/国资；上市公司关联,,,,,约56.8%将用于核心产品9MW2821针对多种适用症不同阶段的临床开发试验。约17.7%将用于针对具有大量临床需求的肿瘤和年龄相关疾病的其他管线产品的研发。约15.5%将用于商业化目的。约10.0%将用于营运资金及其他一般公司用途。,公开认购强；一手中签极低；基石支持；产业方；长线基金；主权/国资；上市公司关联,一级可重点参与；若首日高开过多，二级等回踩确认,0.9444444444444444,补上市后0-180D行情、暗盘与卖点监控,港股IPO基石投资者.csv；港股IPO打新中签结果.csv；港股IPO首发信息一览.csv,122556.0,3822.0,0.0,126378.0,10974.6271,3822.0,0.0,14796.6271,27.0,55.0,0.0,82.0,3015.0,48783.0,0.0,51798.0,15020600,47130200.0,47130200.0,47130200.0,47130200.0,1302678728.0,0.0000,1302678728.0,是,42417000.0,42417000.0,3.46,否,113678728.0,6203.95,6,HKD,"发售以供认购,发售以供配售",1.0,,,,,1.0000000000,CNY,,,4713200.0,4713200.0,481.71,,,,,,2026/04/27,,
1879.HK,,1879.HK,曦智科技-P,曦智科技-P,已上市0-180D,,,,,,2026-04-20 00:00:00,2026-04-20 00:00:00,2026-04-23 00:00:00,2026-04-24 00:00:00,2026-04-27 00:00:00,2026-04-28 00:00:00,2026-04-28 00:00:00,主板,半导体产品；资讯科技业,信息技术,166.6,183.2,183.2,1.0,15.0,,2775710000.0,2376900000.0,65.055709534067,5784.7,53.83,0.06,,"Alibaba Investment Limited；GIC Private Limited；Taibai Investments Pte. Ltd.；Baillie Gifford Overseas Limited及Baillie Gifford & Co；BlackRock, Inc.；Schroder Investment Management (Singapore) Ltd、Schroder Investment Management (Hong Kong) Limited、Schroder Investment Management Limited；富达基金(香港)有限公司；上海中移数字转型产业私募基金合伙企业(有限合伙)；3W Fund Management Limited；UBS Asset Management (Singapore) Ltd.；HHLR Advisors, Ltd.；Aspex Master Fund；联想集团有限公司；未来资产证券(香港)有限公司；CPE Fir Investment Limited；景林资产管理香港有限公司；广发基金管理有限公司及广发国际资产管理有限公司；中兴通讯(香港)有限公司；中国平安资产管理(香港)有限公司；工银理财有限责任公司",20,1644142140.0,,0.6506000000000001,6.0,2026-10-28 00:00:00,产业方；长线基金；主权/国资；上市公司关联,,,,,"约70.0%的所得款项净额将于未来五年用于研发工作,包括持续研发公司的光互连硬件及解决方案,以及光计算产品。约20.0%将用于公司的商业化工作。约10.0%所得款项净额将用于营运资金及一般企业用途。",散户极热/易拥挤；一手中签偏低；基石占比高；产业方；长线基金；主权/国资；上市公司关联,可小额/选择性参与；二级等首日浮筹释放,0.9444444444444444,补上市后0-180D行情、暗盘与卖点监控,港股IPO基石投资者.csv；港股IPO打新中签结果.csv；港股IPO首发信息一览.csv,335445.0,42640.0,0.0,378085.0,91633.7335,42640.0,0.0,134273.7335,28.0,25.0,0.0,53.0,5995.0,96992.0,0.0,102987.0,8974575,13795215.0,13795215.0,13795215.0,15864495.0,2527283388.0,0.0000,2527283388.0,是,11036160.0,13105440.0,53.83,否,150383388.0,2775.71,5,HKD,"发售以供认购,发售以供配售",6.0,,,,2069280,1.0000000000,CNY,,,2759055.0,689775.0,5784.7,,,,,,2026/04/27,,
3296.HK,,3296.HK,华勤技术,华勤技术,已上市0-180D,,,,,,2026-04-15 00:00:00,2026-04-15 00:00:00,2026-04-20 00:00:00,2026-04-21 00:00:00,2026-04-22 00:00:00,2026-04-23 00:00:00,2026-04-23 00:00:00,主板,互联网服务和基础设施；资讯科技业,信息技术,,77.7,77.7,,100.0,,7848360000.0,4463100000.0,49.95900813347,531.33,13.34,0.12,,"JPMorgan Asset Management (Asia Pacific) Limited；Aurora SF；建滔投资有限公司；泰康人寿保险有限责任公司；Cloud Map Holdings Limited；韦尔半导体香港有限公司；3W Global Fund及3W Rivus Fund；上海高毅及CICC Financial Trading Limited；艾唯技术有限公司；光大理财有限责任公司；北京君正集成电路(香港)集团有限公司；New China Asset Management (Hong Kong) Limited；宏兴国际科技有限公司；Ivyrock China Focus Master Fund、IvyRock China Equity Master Fund及ABS Direct Equity Fund LLC, Asia Series 6；UBS Asset Management (Singapore) Ltd.；Green Better Limited；Perseverance Asset Management International (Singapore) Pte. Ltd.；JinYi Capital Multi-Strategy Fund SPC Ltd.",18,2272732770.0,,0.4993,6.0,2026-10-23 00:00:00,产业方；长线基金；主权/国资；上市公司关联,,,,,"约40.0%将用于以产品为核心的研发投入,增强技术实力。约35.0%将用于扩大及优化公司的制造体系。约15.0%将用于战略投资与垂直整合。约10.0%将用于营运资金及一般公司用途。",公开认购强；一手中签偏低；基石支持；产业方；长线基金；主权/国资；上市公司关联,一级可重点参与；若首日高开过多，二级等回踩确认,0.8888888888888888,补上市后0-180D行情、暗盘与卖点监控,港股IPO基石投资者.csv；港股IPO打新中签结果.csv；港股IPO首发信息一览.csv,126765.0,13385.0,0.0,140150.0,29190.8096,13385.0,0.0,42575.8096,28.0,90.0,0.0,118.0,2715.0,146674.0,0.0,149389.0,29250100,58548200.0,58548200.0,58548200.0,67330400.0,4549195140.0,0.0000,4549195140.0,是,52693300.0,52693300.0,13.34,否,86095140.0,7848.36,7,HKD,"发售以供认购,发售以供配售",12.0,,,,8782200,1.0000000000,CNY,,,5854900.0,5854900.0,531.33,,,,,,2026/04/22,,
